Immue-OA,Immue-AZFc,Immue-INOA_B,Immue-KS,Immue-INOA_S
SNAPC1,HSPA5,CTSZ,GZMM,BANF2
NR1H2,JPX,MYO5A,DLK1,UBQLNL
PPM1F,MGAT2,C1orf43,RGL1,LINC00927
AFG1L,PLP2,CYTIP,RGCC,CCER1
HSP90AB1,GRB2,PRKAG1,HADHA,LINC00226
GLMP,CERS2,NCOA4,CERKL,IQCF2
,SULT1B1,SLC25A11,LPAR6,45912
,AP2S1,SH3RF2,GZMK,FAM71C
,PEG3,POLR2E,SNX10,USP2-AS1
,TANK,CD300A,CXCR4,AL035078.1
,CORO1A,FLT3,FTLP3,DCAF4L2
,UTS2,SEC13,LIPA,MACROD2-AS1
,ACAT2,PRNP,RF00003-12,C4orf45
,SPTY2D1OS,SF3A1,IDH1,C9orf24
,FBXL5,ACP1,CCDC196,ROCK1
,CHODL,RSU1,MAN1A1,SRSF5
,MARCKSL1,TSC22D3,MT2A,CABYR
,INHA,HMOX1,ROCK1,SYCP1
,CTSB,PSMA4,RNASET2,MORN2
,GSTO1,XRCC5,HIST1H2AA,YWHAZ
,FXYD6,NINJ1,RAB1B,HMGB2
,ZCCHC6,FUCA1,ARAP1,EMP3
,TNFAIP8,AP2S1,CTNNA1,CADM1
,USP15,FCGR1CP,NARS,CD69
,CAP1,HIGD1A,GLIPR1,SORL1
,OLFML2B,IFNGR2,IRAK3,LAMTOR1
,CYBA,DEGS1,GPR82,BCL2A1
,BTG1,AKR1A1,PSMA7,IGLC2
,C7,SPATA6,USP15,LMNA
,DCUN1D1,ATP5F1A,TAGAP,HOOK1
,HIST1H3A,GPX3,OLFML2B,APBB1IP
,MSI2,DNAJC3,SIGLEC14,ZPBP
,ZNF711,PSMC2,HES1,UTS2
,TNFAIP2,NPL,HSP90AB1,AL157756.1
,KYNU,SERPINB6,RARRES3,AQP5
,FAM81B,RBP7,CD84,ATP6V0E1
,CDK4,SELENOT,GCNT1,VCAN
,CST9L,LSM4,NHP2,MT-ATP8
,AL049840.1,SHTN1,LINC00919,CSF1R
,NUPR2,COA6,FSCN3,HSPA1A
,HK1,HERPUD1,VPS13C,CCDC141
,GMFG,ATP5F1C,HNRNPC,RBP7
,C20orf27,PPA2,CDK4,RAC1
,FCHO2,C5AR1,MIF,GSTO1
,COX6B1,RNASE1,CST7,HSPA5
,DNAJC3,RNF44,FNDC3A,FAM209B
,TOMM22,COX7A2L,CALM1,PDIA6
,HES1,LIMK1,KLRB1,LAIR1
,CKB,LRPAP1,RF00012-44,ZBTB20-AS1
,POGLUT1,JTB,AC005912.1,SLC1A3
,PLAC9,GRB2,TRIM36,TNFAIP8L2
,DDX21,FILIP1L,VIM,SPTLC2
,MS4A14,URM1,PTMS,LYZ
,PTPN2,ANXA4,ICAM3,ANXA1
,ACO2,JPT1,SDR39U1,CLTA
,SLC7A7,UBE2D2,METTL26,TIMD4
,TMX4,UBE2D3,ACAA1,PTGER4
,COMMD6,ATRAID,ICAM1,EPS8
,ENPP5,UGP2,HNRNPD,CD53
,MLF1,SPACA3,TYROBP,MAEL
,ZNF468,SWI5,P4HB,USP2
,NR4A1,INSL3,PRPF40A,MYL12A
,FABP5,ATP6AP1,DIRC3,CALR
,DDIT4,GNPTG,SNX2,PRSS21
,TEX36-AS1,RNF130,BROX,TMCO5B
,NRBP1,TKT,PLEKHO1,ZBBX
,CTSS,ERP44,SOD3,SAMHD1
,H3F3AP4,DHRS7,TLR8,CALM2
,P4HB,AGTRAP,VTRNA1-1,SYCP3
,GLMP,NECAP2,MAGT1,ALCAM
,AKAP12,PLD3,FCGBP,CTSS
,AC239868.1,TOMM22,NKG7,TRIM42
,OPTN,CD69,SPACA3,C3orf22
,MTATP6P1,CD58,HSP90B1,ADAM3A
,LINC01921,GLRX,PTOV1,AC007598.2
,TEX35,BTF3,OPTN,AC209154.2
,ISYNA1,POLR1B,NRAS,UBE2DNL
,DYNLL1,UGGT1,ARL6IP5,AC015802.6
,JUND,LILRB4,CUL2,FNDC11
,CCR2,ADAP2,SCARB2,LINC01233
,GABRG3-AS1,SOAT1,ABHD17A,GPX5
,THBS1,GNB2,TNFRSF11A,LINC00608
,HIST1H1D,CFP,TIMP1,GRID1-AS1
,CD86,LY96,SH3RF2,SPATA31C1
,PSMG2,RNPEP,LINC01578,LINC01364
,LAT2,BOD1L2,PLK2,SMIM6
,ARPC3,LEMD1,TEX35,TBC1D21
,NCL,CD180,COL6A2,PP2D1
,HIGD2A,APRT,PAK1,C2orf70
,ADGRG6,STRAP,ABCA1,AL355357.1
,ITM2C,DGLUCY,ZSCAN31,FAM205C
,NUFIP2,UTY,C5AR1,IGSF11-AS1
,FLII,CLU,RGS18,ODF3L2
,EMC6,UQCRC1,SPATA3,AC012615.6
,RTN3,ANAPC16,ACSBG2,AC013644.1
,RHOB,ITSN2,C12orf54,AC109635.4
,CTSV,VASP,CLU,AC133485.2
,STUB1,RNF141,TGFB1,PLAC8L1
,IQCF3,BTF3L4,HYI,TROAP
,SDR39U1,CCDC91,YBX1,CSNKA2IP
,DUSP1,UBE2L6,DNAJC3,TEPP
,KCNAB1,PTPN2,ADCY7,PAGE5
,RAB31,TUFM,CD96,ODF1
,NFIA,UPP1,YWHAZ,LINC00929
,COX4I1,EDF1,PSMG2,DNAJB3
,SCAMP2,MERTK,TEX46,SPEM1
,ZFAND5,CSF1R,FILIP1L,AC004797.1
,PENK,C14orf119,MPP1,GRM7-AS3
,ENAH,GRINA,TRIP12,GABBR2
,GNAI3,ANAPC13,NCOA3,LRRD1
,PDSS1P2,YWHAZ,GADD45A,AC117422.1
,LINC01492,EVI2A,DENND4C,CFAP65
,AC024896.1,DDOST,ARL2BP,AC018558.1
,AC034199.1,RTRAF,MERTK,SPANXN4
,AL355922.1,NUDT16,NCEH1,LINC02492
,LINC02109,SLCO2B1,CD58,SORCS3-AS1
,C8orf59,GSTA1,GRB2,SMAD1-AS2
,GLDN,MMADHC,CD3G,SLIT2-IT1
,SELENOK,CCDC196,CD8A,SLIT1-AS1
,CSTB,XPR1,PKM,LYZL2
,KIAA1210,BSG,HNMT,RFPL3S
,TRIM36,MDH1,HIST1H1B,PHACTR1
,ATP6V1B2,ACTR2,SPATA6,NRIP3
,UBE2H,SNHG3,MFGE8,SYT1
,POLR1B,IL1R2,MT-TE,GSTA1
,BECN1,VTA1,GNAQ,ACE
,HRH2,SDHB,PENK,L1TD1
,RBPJ,KRCC1,AKR1B1,DBIL5P
,EIF4G2,ASB8,APC,ARMC4
,MYOF,BNIP3L,IQCF1,LIPA
,SQOR,AP2A2,LGALS3,LRRIQ1
,HMGN3,GORASP2,VDAC1,C5orf49
,SERPINF1,GTF2F2,TMED5,IL1B
,C12orf57,BCAP31,TRIR,DNAJB1
,NUDT11,IQGAP1,AP2S1,GNS
,SOD2,AOAH,LAMTOR2,TAGLN2
,CEP350,DNAJC15,C8orf59,COL1A2
,CD209,RPA2,SLCO2B1,HSPA1B
,IL27RA,IER3,GNG11,ABRACL
,HLA-DPA1,UFC1,TMEM167A,CCDC136
,C3,CTSS,SNX3,LRRFIP1
,GPRC5B,CCT6A,MPG,CSTB
,GALM,PTGDS,RASSF4,EIF5A2
,EGFL7,RAB7A,TMIGD3,SEPT7P9
,BTG3,SIGLEC14,DRAM1,ARPC5
,45717,LILRA6,SPATA42,IGHG1
,PLCZ1,CHP1,CDIPT-AS1,IER3
,MNDA,NFYC,IFITM1,SNX6
,FUNDC2P2,DAP3,DBP,DEUP1
,ATP5F1E,RAB6A,ADGRG6,ZNF706
,GGTA1P,SRP54,MAZ,PDIA3
,CLEC4D,CYBRD1,FZD1,ADAM10
,HIST1H1C,SLC17A5,SIGLEC1,MARCKS
,MANF,ATIC,CD22,MPP1
,PPIA,SRA1,KLF6,CCR1
,HTRA1,CD99,AP3B1,TNFRSF11A
,TMEM97,S100A11,BCL7C,MERTK
,ANGPTL1,MAN2A1,ATP5PB,DOCK11
,UPF2,CRYL1,AC010255.3,TIMP1
,MIR616,CSTB,BLVRA,ANXA4
,LINC02314,COMMD6,PHF7,NR4A2
,CFP,TMEM192,SCN9A,ACP5
,CUL2,PLP2,BTG1,DCUN1D1
,VSIG1,LYPLA1,NPC2,PTGS2
,MAZ,RGS19,PJA2,PNISR
,C11orf96,BAG4,SP100,PARP14
,ACE2,UCP2,STX7,CFAP221
,SPSB3,HSPA5,LY96,CALM3
,SLFN11,IMPDH2,TMSB4X,C2orf16
,STK38,RAB13,ETS1,AC074327.1
,PINK1,PMP22,CCDC85B,SAMSN1
,MYO1E,CCNH,CAV1,NCOA4
,CCL13,CEBPB,HCAR3,LINC02397
,SRSF5,COPS3,MCAM,JUNB
,LARP1B,MGST2,PRKDC,GSTK1
,CTNNAL1,TFG,PSMA4,IL1R2
,MFAP3L,MT-ND3,AC097534.2,CAPZA2
,GPX4,TMEM50A,PCSK7,PSMA4
,AARD,ABCC5,SAT1,C6orf201
,ZNF571-AS1,LEPROT,HLA-DRA,AC106788.1
,GSTA2,TRIM36,EPS15,MAN1A1
,DBP,GYPC,GRN,SPATA9
,SLC40A1,COG2,GBP5,ADAM9
,PLXDC1,LMBRD1,TCF12,HSD17B4
,CCL3L1,SLC43A3,HIST1H4E,GCNT1
,SREBF2,SLC25A39,TMEM123,PLD4
,MCTP1,CIAPIN1,MT-ND4,ARMT1
,ARHGAP24,USP9X,PLXDC1,ARHGAP18
,MINOS1,SLA,AL138899.1,SPARC
,ORMDL1,GTSF1L,YWHAE,NPC2
,LGALS3BP,SPTLC2,VAMP3,VPS35
,CAST,GM2A,TNFRSF14,ECM1
,GNPDA1,KCNAB2,SERPINA1,NDUFA12
,GNAS,CD151,H2AFX,CH25H
,HEMGN,IARS,DEPTOR,ETS2
,VCAN,ATG4C,DDX21,TMIGD3
,ATP5PB,TNS3,MYOF,HYDIN
,RGS5,MANF,FUS,SRGN
,NR1D2,CDC73,CAPRIN1,TP53I3
,PLEKHG5,PRPF4,LAMTOR1,CCT3
,DSTN,CNN2,RAB14,TXNIP
,FAM71F1,GSTO1,ZNF331,CD83
,NSUN4,MDH2,LINC01681,GNPDA1
,VWA3B,UTS2,CCDC54,CCT4
,ANAPC11,PRKCD,LARP4,HADHA
,PSMD7,ETHE1,CEP350,VDAC1
,TMEM52B,ACADM,PTPRC,C10orf82
,STAR,GLOD4,EIF2S2,GCLC
,JAK1,APMAP,MFAP4,SNX3
,ZCCHC24,CUL2,PSAP,DEFB119
,MARCKS,POLR2B,ENO2,ACTR3
,SLC25A4,LIMA1,ACTL7A,PRPH
,ARL6IP5,SELPLG,RNASE3,FAM183A
,ARAP1,NSL1,HIST1H1T,AL121990.1
,MRO,PSMB4,EMB,MET
,CTTNBP2NL,OLFML2B,EMILIN2,AL158819.1
,HIST2H2AC,PRKAR1A,BNIP3L,TREH
,FXYD5,DPYD,PPDPF,AC113423.2
,DNAJC15,BABAM1,ADRM1,AL049875.1
,C6orf62,LPCAT2,ZDHHC20,TMEM89
,B4GALT1,SUMO2,SSR1,AC004817.2
,HIST1H2BA,TIMMDC1,AC084871.2,CCDC172
,TEX53,GSKIP,WDR36,AC068987.3
,ZNF706,TAF12,RGS1,VCX3A
,DKK3,TRPV2,SERTAD1,LINC01784
,FDPS,CABYR,LCK,C11orf88
,NDUFB8,CERKL,WASHC4,AC097375.3
,RSL1D1,TEX35,TBC1D10C,PDILT
,TMSB10,PSMD4,CD302,ACTL7B
,SELENOM,EFR3A,VPS51,THEG
,CCR5,PSMA5,SNORD13,AC025524.2
,HLA-DQA1,CAPRIN1,ACAP2,NCOA4P3
,CHPF,PPM1G,RARRES2,LINC00906
,BCLAF1,PILRA,NUMA1,FTMT
,AC015969.1,FPR3,PLEK,C10orf120
,PIGCP1,GPR108,CSMD2-AS1,AL358215.2
,DAPK1-IT1,RNPC3,CHCHD10,LINC01517
,AC093484.4,VPS28,PSTPIP2,MORN5
,SH3KBP1,RBM3,CYBA,LINC00635
,NRDC,UQCRC2,UBE2S,LINC01989
,ZFP36L1,OAZ2,BRD2,PLSCR2
,CCT3,EWSR1,XPR1,GJA5
,HLA-F,UQCRFS1,SNHG6,LINC01227
,KIAA1551,PPP1R7,PIK3C2A,LINC01667
,PPARG,GIMAP4,PSME1,LINC01676
,CD58,CYSTM1,SPIDR,TOPAZ1
,ARMT1,TMED10,SOCS3,AC104964.1
,STMN1,SERBP1,CYR61,AC104971.2
,TPT1,COPE,FXYD5,NOL4
,SPG21,LEPROTL1,HAMP,AP003110.1
,HNRNPA1,RSRP1,STK38L,CASC16
,C12orf75,GMPR2,CCDC168,TEX51
,BUD31,SLC38A7,HOPX,AC021915.1
,TUBB4A,F13A1,FCRL6,DUSP13
,VDAC1,SRP72,EPB41L3,AC007557.2
,SLC2A3,RAB32,SSBP4,EQTN
,CD59,ERP29,EMC6,AC006450.2
,IRF2BP2,KIF13B,GZMH,NPIPB1P
,AC109630.1,SNHG5,SLAMF7,AL133264.2
,PPP2CB,RNF111,TRBC1,PHOSPHO1
,GAS5,DERL2,DCAF12,LYZL1
,HIST1H1T,STOML2,CYB561A3,SPATA46
,UPP1,NDUFB5,RF00003-11,LINC02081
,CCT6A,ERLIN2,AC005288.1,MROH2B
,PRRC2B,RNF5,KLHDC2,CDHR2
,MUM1L1,PARVB,XRCC4,C11orf94
,IFI27L1,PSMC5,ATM,SPANXC
,MPPE1,TMEM176A,TUBA4A,TUBA3C
,COX5A,RPUSD3,ATP6AP2,C3orf30
,NFKBIZ,REST,DPP7,PWRN2
,TAF1D,STARD7,RHOA,AC009623.1
,AGPAT1,SLC2A8,NLN,TEX33
,HDLBP,CANX,FBXL5,ISPD-AS1
,RIOK1,SEC31A,RRAD,IQCF6
,PFKP,CAPNS1,CTSW,LINC02400
,EIF5A2,NUDT2,ICAM2,TDRD5
,SLC1A4,IBTK,TBXAS1,PIH1D3
,CITED2,PSMC4,RBP7,GSTT4
,KLF6,P2RY6,DICER1,PRM3
,LPXN,DIRC3,SIGIRR,PRSS58
,PER3,KXD1,RAP1A,SPERT
,HSPH1,CCT3,MLF2,LINC02423
,ANAPC15,CMTM6,MFAP3L,LINC02359
,CCDC70,FMNL2,FDPS,C9orf50
,FGF14-AS1,SNRPB,CCL8,FBXO39
,AC074327.1,SRPRB,TEX37,LINC01723
,CASS4,WASHC5,RGS5,RUNX2-AS1
,ARF1,TMEM236,TRAF3IP3,FGF14-IT1
,WSB2,NQO2,CERS2,DRICH1
,KLHL8,CLEC12A,45902,GALNTL5
,ATF5,NSMCE1,45911,LINC01198
,RBP1,RAD23A,WDR74,SPZ1
,AC010255.3,ATP6V1G1,ATG101,AL121900.1
,NUDT16,PRPF38B,SRP54,AL121957.1
,CDC42P6,LMNA,PDIA4,PIWIL1
,MTPN,ZBTB1,IGSF6,PKD2L1
,AC097375.2,CRTAP,MS4A14,AL078623.1
,P2RY12,ZNF706,ANAPC15,BOLL
,PET100,PDHA1,CASK,ADAM29
,SLC25A6,PPP6C,APLP2,CCDC188
,S100A13,NRDC,RNVU1-19,LINC02366
,PLIN3,PSMD11,CALHM6,CXCL5
,CPVL,PRMT1,ATF6,C2orf73
,FGL2,DOCK10,ROPN1L,FAM182B
,JAML,MAGT1,BUD31,OOEP
,NDRG4,KLHL8,VAMP2,STARD6
,PTPRC,LGALS9,APBB1IP,AC016747.2
,APOD,AP1S2,PHB,BEND7
,RIN2,UBXN1,FAM96A,PAK2
,ACTL7A,FES,MAMDC2,CCL2
,SPATA19,COMT,BPIFA3,SLC39A1
,CRYBG1,AC097534.2,EEF1B2P6,BCL2L14
,SPOCK1,TLR5,TGOLN2,AC010325.1
,AIMP2,JAK1,BEX3,MTSS1
,RGS18,GUK1,CSDE1,MYL6
,EPRS,FXYD5,LINC01871,CLGN
,NT5C2,COX6B1,ATF4,C2CD6
,STX7,DPP7,SAMSN1,TSHZ3
,YBX1,CXCL8,RNF13,AC025040.1
,PGD,TIMP1,GHITM,AL355922.1
,HSPB6,EMP3,TSPO,SRD5A3-AS1
,CSTA,MCFD2,FAM81B,CLEC10A
,ZDHHC20,GLDN,SPANXD,IGLC3
,NDUFC2,NUP214,S100A12,C20orf27
,GMPR,JAML,GABRG3-AS1,PFKP
,ALOX5,APH1B,BGN,CD302
,KCTD13,GLB1,HCAR2,SMARCA1
,CCDC107,TSNAX,CD2,LILRA6
,ITSN2,SNX3,AP2A2,APLP2
,UTRN,SMIM7,MINOS1,TALDO1
,IQCF1,C2,MPPE1,MAP1B
,FARP1,ACP5,TEX26,ZCCHC2
,LPAR6,STX5,RAB10,CAP1
,DNAJB8,SYPL1,CSK,IGHG4
,HSP90AA1,PPP3R1,TSHZ3,SIGLEC1
,NSL1,YIPF1,TIMD4,JUN
,CD81,SUN1,PRDM1,YPEL1
,HLA-C,COX5A,CSTA,MFSD10
,CLEC12A,UBR2,NET1,ATP6V0B
,CD44,UXT,EPHX1,EIF4G2
,SRP9,CLASP2,GUK1,ATF3
,AL357060.1,SPATA42,CD8B,TGFBI
,FCGR2C,CDIPT-AS1,IKZF3,LAMTOR2
,FSCB,FSCN3,TNFAIP8L2,ATP1B3
,DENND4C,C12orf54,LYPLA1,COTL1
,CFD,MFAP3L,ITGA1,CXCR4
,VSIR,ACSBG2,CLEC10A,NDUFB2
,KLF2,SPATA3,RAN,PABPC1
,ESF1,NUP107,PRDX1,MYO1E
,ZBTB1,SLC31A1,ERLIN1,CTNNA1
,MAP3K14-AS1,ALG3,MORF4L1,DNAJC5B
,SNX6,RNF7,SYT1,HMGN5
,ELOVL1,DAPP1,HMGB2,GPR34
,ACAA1,ALCAM,CDKN1B,DIAPH1
,FADS2,YARS,AC007969.1,SELENOM
,TEX44,RGS18,AC008038.1,FOSB
,HACL1,COPB2,ACSL4,ACKR1
,ANP32B,MRFAP1,GLRX,COX7A2
,ZMYM1,TTYH3,PABPC1,IGHG3
,CTSZ,PSME3,CFP,ANKMY1
,CIDEB,NDUFAB1,ZSWIM8,CTSD
,VPS51,GLTP,ING1,THBS1
,DNASE1L1,CHCHD2,BRI3,UBB
,NKX3-1,ERAP1,SOAT1,RTN3
,SORT1,HLA-E,NBL1,ITM2B
,Z93241.1,ARPC1B,PSMD7,FKBP1B
,FKBP1A,EIF4EBP1,ALYREF,LINC02219
,PHB,MIEN1,OSBPL11,SRP72
,FBXO11,HEXA,JMJD1C,PGK1
,45907,RAB2A,LTC4S,ATP6V1B2
,PLAU,SELENOF,MTND3P10,FABP5
,HNRNPA0,ENSA,JAK1,TPI1
,C1S,RAN,MTCO2P12,LINC00694
,CD69,CAPN2,SRSF3,TYROBP
,TREM2,TEX46,NFE2L2,CD93
,HMGB2,CNPY3,SETX,HNRNPA2B1
,FCGR2A,COMMD10,NPIPA1,PGD
,RNF111,CD44,AC239803.2,COA6
,FAM187B,HACD4,CEP170P1,EMB
,FAR2,BLCAP,GAGE2A,45911
,C5orf52,TFEC,PSMD11,TPM4
,SPACA9,UBE2F,COX6B1,YBX1
,FAM84A,ZNF468,BCL2A1,CD99
,IER2,C10orf128,ACO2,CDC42
,CYLC2,TIMM10,C20orf24,ARF1
,SNHG3,UBE2A,SEL1L,DDX21
,ETHE1,GHITM,ITM2A,NPM1
,SH3BGRL3,PXK,PIM3,CREG1
,TAF7L,TMEM173,HSD17B4,INSL3
,TPI1,NDFIP1,AFG3L2,SLFN12
,FCGRT,SYNE2,TSPAN16,NUDT16
,IL2RA,P2RY12,TBX18-AS1,RBPJ
,COX6A1,VDAC2,ATP6V0E1,NPL
,AP000648.3,SARAF,C12orf75,C11orf65
,HIST1H2BI,TXNRD1,KIAA1551,GNAI2
,LINC01678,SDF2L1,U2AF2,CD14
,LINC01364,PLRG1,MTCO1P12,MIR202HG
,AC013644.1,PDCD6,TBCC,HAVCR2
,SPATA31C1,TNFRSF1A,CCT6A,MT-ND4
,LRRD1,FNDC3B,P2RY12,UPP1
,PIPSL,RAC1P2,EPRS,GALM
,RF00019-363,ANKRD40,ID3,SERPINA5
,SNORD56B,OTUB1,ATP5F1D,FCHO2
,AC022968.1,CDC123,TLR6,IFITM2
,MUC19,NME3,SNHG7,SPAG17
,AC099342.1,ABCA1,LDHA,CFAP97D1
,AL359265.3,ELAVL1,CLIC4,LRRC36
,IPO7,CCR1,TCEAL4,AHRR
,BBX,SMARCA5,RBPMS,HMOX1
,KLF4,PSMB3,ZCCHC6,TOP2A
,SGCB,P4HA1,GTSF1L,HDLBP
,HIF1A,ADAM15,FADS2,FCGR2B
,AL590867.2,NUMB,EHBP1L1,MT-TV
,EVL,TMEM69,SPARC,TTN
,NTMT1,PDIA4,TIPARP,FKBP15
,45914,PROCA1,INO80E,RAB10
,SMC1A,CAPZA1,RALY,ARPC3
,NUCB2,ABCE1,ATP6V1A,LIMA1
,ATP10D,CLPTM1L,OTUD1,PFN4
,SMU1,CNTRL,NSUN4,SIRPA
,MSR1,ARL6IP5,UGGT1,PPP1CA
,CHP1,MYADM,SPATA19,AL049840.1
,XRCC4,FBXW5,ATP8B2,SYNE2
,PNISR,LINC00301,MAF1,FILIP1L
,NTRK3-AS1,EIF5A2,SOCS1,ANP32B
,C20orf24,CISH,RBM8A,OST4
,SMIM10,C1orf194,MT-CO1,SERF2
,CHORDC1,TMEM255B,KCNJ2,CEP112
,CXADR,CCDC90B,EGR3,ACTRT3
,UBQLN3,ECHS1,GSTM5,FCGR1CP
,CBX6,HMGB2,AL118516.1,HS3ST2
,BEX2,SNRPE,SCAND1,RBM46
,TEX48,RBM42,IPO7,RIMS1
,AC007613.1,TMCO1,ANP32A,OTUB2
,PTMS,LSP1,LIMD2,LINC01277
,H3F3B,POLR1D,MDK,DNAJC13
,RBMX,MS4A14,PRRC2B,HSPA4L
,AC096733.2,PFN1,MAP2K2,IDH1
,IRF2,THOC2,SCAF11,ABHD1
,TBC1D14,CYBB,ZC3H12A,SHTN1
,TSHZ2,CALM3,ZNF706,AC109630.1
,MLKL,TM9SF3,TPM1,SIRPB1
,CAPRIN1,OSBPL11,IFITM3,PEA15
,TAGLN,PEX2,RNU5E-1,SUN3
,BZW1,MGST3,SYNE2,AL160191.3
,ZNF675,MARCKS,RARS,AC131956.2
,POU2F2,LTBR,ACAT2,RIBC1
,CEP170,SPATA33,CDKN1A,LINC00643
,CLEC5A,RAB3GAP1,CEP170,C14orf39
,MT-RNR1,PDCD10,NR2F2,RHOXF1
,TMEM219,CLDND1,CTTNBP2NL,TDRD10
,GATM,PPP1R18,AC097636.1,AP003031.2
,PRPS2,PPCS,DNAJB8,FBXO24
,RPAP3,OST4,VWA3B,DDX25
,ATXN2L,HNMT,BNIP2,TXNDC2
,HMGCS2,UBIAD1,APOD,AC100849.2
,MIR181A1HG,ZFAS1,PDGFC,LRRC71
,MFSD10,CLK1,NPIPA5,S100A12
,HM13,MTMR14,LSP1,ZNF117
,WLS,ATP6V1E1,ZBTB10,TTC29
,UQCRH,SLC1A5,CDC5L,LINC02032
,PRPF4,RIOK1,BMP2K,LINC02045
,UBR2,UBE2J1,NSL1,TTLL10
,RAB7A,OSTC,CRYAB,LINC02180
,PRSS37,YWHAG,COX7A1,CALR3
,TLR8,DNAJC19,SGMS2,ARL2BPP3
,S100A12,APLP2,LENG1,PDYN
,AC245407.1,EBLN3P,NDN,MCM8-AS1
,HCK,TMEM170A,SPANXB1,LINC02189
,ZFP36L2,TAF1D,AIG1,LINC01895
,LAPTM4B,HLA-B,C7,LINC01704
,STX6,NISCH,TEX44,AC092810.3
,HK2,MFSD5,SLC7A7,TKTL2
,ANKRD40,HTATIP2,TSSK6,AC010531.4
,UBQLNL,SLFN11,CLEC2D,CPXCR1
,LUCAT1,EMC8,SIRPB2,LINC01016
,CFAP58-AS1,SOX4,GIMAP4,CCDC83
,MID1IP1,LILRA2,ARGLU1,TJP3
,ACSM3,TEX38,MID1IP1,GRP
,HYI,FAM81B,PAPOLA,KLK5
,SNORD13,IL2RG,C1R,AC025524.1
,AIG1,AC010255.3,EIF2A,KCTD19
