Immue-OA,Immue-AZFc,Immue-INOA_B,Immue-KS,Immue-INOA_S
,,,SERPINE2,CFAP206
,,,WASHC1,AL109954.1
,,,ETNK1,PGA5
,,,TRIM14,AC093655.1
,,,TBCB,TUBA3E
,,,RNF220,FAR2P1
,,,TNFAIP8,AL008727.1
,,,SLC25A38,AL445189.2
,,,HAUS2,SULT1C2
,,,EHMT2,SULT1E1
,,,PPIL3,SULT2B1
,,,NFIX,DGKB
,,,NCBP2-AS2,VCX2
,,,ASB8,TTTY12
,,,USP8,LCTL
,,,GIGYF1,SSUH2
,,,TGFBI,AC104688.1
,,,NR4A3,AC104758.5
,,,RALBP1,AC096644.1
,,,IGSF8,PDE10A
,,,ASCL2,ISM1
,,,ELMO1,AC093909.2
,,,PTPN11,AC131274.4
,,,SGK3,NOL8P1
,,,DNAH1,AC006372.3
,,,SLC44A2,ISL1
,,,TIMM8B,AC004415.1
,,,ANTXR1,AC004448.1
,,,SLC25A25,AP000344.1
,,,MYO7A,LINC02093
,,,TRPT1,LINC02096
,,,CYTOR,NODAL
,,,FAM92A,AC131274.3
,,,ANKRD36,SPATA31E1
,,,RIOK1,SLCO4C1
,,,LANCL1,LINC02454
,,,PARP9,LINC02466
,,,EIF3J,LINC02468
,,,STARD8,LINC02472
,,,NUCB1,AC021517.1
,,,FERMT3,EFCAB9
,,,UBE2L3,EXD1
,,,RNF114,DPYSL5
,,,SLC2A4RG,SPDYE6
,,,KHNYN,SPEM3
,,,HEXDC,AC022188.1
,,,SIK3,AC022196.1
,,,ZBTB40,AC022483.1
,,,SNHG10,ELOVL2-AS1
,,,AC020656.1,SPAM1
,,,FADD,SPANXN1
,,,PARVA,AL672043.1
,,,RNU1-13P,CDRT15
,,,RRAS2,AC099654.1
,,,PGAM2,ASB4
,,,AC007032.1,AC099684.2
,,,ATG4D,OR8D1
,,,RASGRF1,BX276092.9
,,,PXN-AS1,ZNF559-ZNF177
,,,MIR103A2,BTG4
,,,CAPN12,SPATA31D1
,,,APCDD1,SPINK9
,,,NDST1,AC138305.1
,,,DUSP4,OR7D2
,,,ACOT2,AC002428.1
,,,ABCA2,LINC02480
,,,FBLN5,C2orf69P1
,,,LINC00863,C2orf71
,,,SLC30A9,AC003001.1
,,,C7orf26,SPATA31A1
,,,SIRPG,C4orf17
,,,PHF20,AL590783.1
,,,VPS8,SLC25A5P1
,,,RAB2A,SLC26A3
,,,MCHR2-AS1,AC022903.1
,,,ZFAND2B,AC007240.1
,,,FCER1A,LINC02559
,,,RBL2,AC243829.2
,,,G0S2,AC243829.5
,,,AC083973.1,SPANXN2
,,,SPEM2,LYZL6
,,,C10orf53,AC137499.1
,,,AP1G1,AC138024.1
,,,SPOPL,MAGEA12
,,,PDHA2,AC003688.2
,,,ADIPOR2,AC003973.1
,,,TRIM52,AC004009.1
,,,LPAR2,AC002460.1
,,,MEG3,AC002465.1
,,,GTF2IP4,MAGEC1
,,,AC106788.1,ORM2
,,,KATNAL2,AL031594.1
,,,ODR4,AL031663.2
,,,SLC25A45,AC007223.1
,,,NFKB1,AC007225.1
,,,SOCS4,SLC4A4
,,,CHST13,AC022469.1
,,,RFXAP,CELF5
,,,ZNF503,CECR2
,,,SIAH2,AL035634.1
,,,SMIM14,PACRG-AS2
,,,CDK2AP2,KIAA2012
,,,DAZAP1,OR7E122P
,,,PSMB2,KIZ-AS1
,,,REEP5,KLF1
,,,SOD1,AC099677.1
,,,VIPAS39,AL034345.2
,,,INSIG1,AC007533.1
,,,TSPAN1,AL049541.2
,,,LSAMP,ABCB11
,,,AP1S1,EBF3
,,,VCAM1,C19orf67
,,,PM20D2,C17orf47
,,,SDS,ZSWIM2
,,,TYK2,EBLN1
,,,MCM3AP,E2F2
,,,USP11,EAF1-AS1
,,,XRN1,AC018716.2
,,,SYNPO2,AC001226.1
,,,PSMA3,AC002059.1
,,,TMEM65,LYPD8
,,,RFNG,SOX5-AS1
,,,TLN1,DSG2-AS1
,,,PRMT1,AC237221.2
,,,TAF1C,AC139720.2
,,,BCAM,LPP-AS1
,,,GOLPH3L,LTK
,,,ASAH1,ZNF733P
,,,ZNF384,ASZ1
,,,TMEM184C,AL031668.1
,,,ELMOD3,KLHL6-AS1
,,,PPP1R12A,OR10J1
,,,FAM208A,OR11A1
,,,OTUD6B,OR7E26P
,,,UBAP2L,KLF7-IT1
,,,TOR2A,ABCB5
,,,RGS14,C12orf80
,,,YBEY,C10orf90
,,,MSI2,C12orf40
,,,BCAP29,ABCF2
,,,PRRC2C,AC233702.7
,,,PPM1K,C16orf97
,,,KAT2A,ZP1
,,,SRGN,C19orf33
,,,POLG,C16orf46
,,,ZNF683,C1orf158
,,,KIFAP3,C16orf90
,,,HOOK3,EEF1A1P2
,,,CCDC159,AC021755.3
,,,NRBP1,DPP10-AS1
,,,VMA21,DPPA5
,,,INIP,AC018558.3
,,,SOD2,OR2B4P
,,,NOTCH1,OR2F1
,,,ATF5,OPN5
,,,ARHGEF9,LUZP4
,,,FAM228B,OR56A3
,,,TCEA2,AC100756.3
,,,UTP20,CEACAM6
,,,45906,AC007314.1
,,,PGK1,KIF18B
,,,NBEAL2,P2RX3
,,,ARHGAP30,AC099489.1
,,,NUP98,AL035078.3
,,,SEC22C,DSG3
,,,YRDC,OR4M1
,,,MCRIP2,LY6H
,,,MS4A5,SNCA-AS1
,,,SLC38A2,SMIM24
,,,ARL11,AC100821.2
,,,SPESP1,AC100827.4
,,,ELOVL1,DYDC1
,,,KIF18A,DYDC2
,,,PITPNA-AS1,EDRF1-AS1
,,,CD34,AL731555.1
,,,NOSIP,AC021439.1
,,,SORL1,AC235097.1
,,,UBTF,AC019294.1
,,,AP001972.5,AC102953.1
,,,SPATA17,AL031710.2
,,,GABARAPL1,AL031727.2
,,,PRSS21,CDRT4
,,,CES2,OCM
,,,DDX17,AL731537.2
,,,BET1L,AC021006.2
,,,CD72,AC023824.5
,,,AGPAT5,AC016583.1
,,,PDGFRL,AC004869.1
,,,LPAR5,AL589740.1
,,,RENBP,AL589986.2
,,,GOLGA8B,SRPK2P
,,,KDM4D,AC016493.1
,,,THOC6,AC245008.1
,,,COPE,LZTS1-AS1
,,,ACSL6,C5orf60
,,,LINC02035,C5orf64-AS1
,,,AL450326.1,MAP3K19
,,,CAP2,LINC02325
,,,AC132192.2,LINC02079
,,,OSBPL7,AC135012.2
,,,RF00003-3,LINC02199
,,,PDE3A,LINC02411
,,,AC091729.3,LINC02429
,,,HDAC11,AC245041.2
,,,RNU6-6P,AL590143.1
,,,KLRC1,AL590378.1
,,,VASN,AL590381.1
,,,TMEM204,AC024224.2
,,,CLSTN1,SPO11
,,,MED18,DNAJA1P5
,,,ZFAND6,AC016813.1
,,,CDS2,AC016822.1
,,,TOP1MT,ANKRD26P1
,,,SIVA1,SLC17A1
,,,PITPNM1,SLC17A4
,,,EP300,SIX3
,,,PTPN18,DNAAF3
,,,EFTUD2,SRRM5
,,,PRKAG2,EXOSC3P1
,,,SNHG8,AC023824.4
,,,KIF22,DNAH8
,,,TMEM52B,ANKRD20A2
,,,C11orf74,AC023866.1
,,,GM2A,AC025176.1
,,,NCBP1,ST7-OT4
,,,C8orf82,LINC02201
,,,C1orf123,LINC02134
,,,UROD,LINC02146
,,,SLAMF1,FAM46D
,,,TOR1AIP2,DLX6-AS1
,,,SNX9,DMBT1P1
,,,SCFD1,LINC02353
,,,ZNF281,AC025161.1
,,,NENF,F12
,,,F2R,SHISA8
,,,TBCD,FAM183BP
,,,PSME2,AC025174.1
,,,RBM38,SHANK2-AS1
,,,COL5A1,AC016074.1
,,,HDHD2,DLX2-AS1
,,,PDLIM2,LINC02357
,,,FIP1L1,AC025265.1
,,,TNFAIP8L3,NR2E3
,,,AC243829.1,KCNMA1-AS3
,,,SLF2,KCNQ5-AS1
,,,TMEM39A,KCNQ5-IT1
,,,GBP4,AC004223.4
,,,ALDOC,AC004224.1
,,,UNC13B,DMRTB1
,,,ITGAD,AC104088.1
,,,CARMN,FABP5P1
,,,GABARAP,KLK2
,,,MANF,KRT7
,,,MCM7,KCNIP2
,,,PTPMT1,NRG1-IT3
,,,ROPN1,NRG4
,,,CPEB1,AC007014.2
,,,GGTA1P,UPK3B
,,,IL27RA,AC103996.2
,,,ZNF45,AC104002.1
,,,DNAJC4,KLK12
,,,THUMPD3-AS1,AL023284.3
,,,FAM46C,AL023581.1
,,,ZNF207,KSR2
,,,AFG1L,KLF17
,,,DCXR,AL033397.2
,,,PDGFA,AL033504.1
,,,EIF3K,AL033543.1
,,,RABGAP1,KREMEN2
,,,PGAP3,AC016687.3
,,,IFRD2,AC103724.4
,,,SYCP3,AC103855.1
,,,PPP4R1L,AL031674.1
,,,UBXN2B,AL031676.1
,,,CHAMP1,KCNJ10
,,,FRYL,KRT26
,,,ERCC6,OVOL1
,,,CTNNB1,SPRR4
,,,NPM1P39,SLC25A3P1
,,,AXIN1,AL031123.1
,,,RABL6,LINC02537
,,,SGTB,LINC02554
,,,ALDH16A1,AL607028.1
,,,ZNF180,SLC4A10
,,,MIR3945HG,AL607033.1
,,,ATG7,AC022167.5
,,,SLC12A6,DRD3
,,,TIMM29,SPRR2F
,,,PAPOLG,SLC35G3
,,,STT3B,ETDA
,,,KIF11,ETDB
,,,PTMA,SPINK5
,,,ST14,AL591926.7
,,,USB1,AL592227.1
,,,C1orf131,AL592464.1
,,,SLC38A7,AC023300.3
,,,FAM177B,AC022915.1
,,,GRK6,AC022540.1
,,,C17orf64,ESRRB
,,,JUP,ARRDC5
,,,RAD21,LINC02326
,,,WDR44,LINC02270
,,,CCDC126,LINC02272
,,,CCDC71L,LINC02369
,,,NCAPH2,LINC02377
,,,FCHSD2,AC136628.1
,,,MYL6B,LINC02286
,,,LRTOMT,DNAJB8-AS1
,,,HSPA4,ERFE
,,,PNPO,MAGEC2
,,,UBE2E3,MAGI1-IT1
,,,PAK1IP1,MAL2-AS1
,,,TNNI2,AC024601.1
,,,OAT,AC024619.1
,,,CLPTM1L,ERLNC1
,,,TRA2A,AL590491.2
,,,EIF3H,SRGAP3-AS3
,,,INTS11,LINC02292
,,,CALU,AC023347.1
,,,ATP5F1C,SLC22A7
,,,DHX37,AC007527.1
,,,DDX60,AL049765.1
,,,PON2,AL049767.1
,,,ST3GAL1,AC097467.3
,,,TBC1D15,PCAT7
,,,ACTR6,AL049646.1
,,,ANXA6,UBE2Q1-AS1
,,,CORO1B,PAQR4
,,,SLC25A28,UBBP2
,,,CDK10,AC007405.1
,,,C1orf21,AC007422.1
,,,SMARCD2,AC007463.1
,,,INTS9,SLC3A1
,,,HIST1H1A,AC022511.1
,,,AKAP11,SLC24A2
,,,BAZ2B,SLC25A31
,,,PRCP,BTBD16
,,,NT5C2,AL049651.1
,,,RAB6A,AGBL1-AS1
,,,SMC1A,LINC01038
,,,PLEKHF1,PPFIA2-AS1
,,,GTPBP6,VRTN
,,,TTC1,WBP11P1
,,,RELA,LINC01040
,,,TMEM106C,LINC00656
,,,BBS2,LINC00917
,,,PACSIN2,IGLVIV-64
,,,KIAA0586,AP002833.1
,,,C20orf27,AP002884.2
,,,DNAJC1,AC079866.2
,,,RASA3,AC079907.2
,,,,AL138787.2
,,,,WARS2-IT1
,,,,AC005786.2
,,,,BAGE2
,,,,LINC01193
,,,,AF274855.1
,,,,TNPO1P1
,,,,AC009119.3
,,,,AC009142.1
,,,,VPS13A-AS1
,,,,CLK2P1
,,,,HNRNPA3P10
,,,,TNNT1
,,,,AC009102.1
,,,,POTEJ
,,,,LINC00901
,,,,AL138733.2
,,,,AL161937.2
,,,,CRYBA4
,,,,CSNK1A1L
,,,,CSNK1G2-AS1
,,,,AC109635.2
,,,,AC109811.1
,,,,AC108733.1
,,,,NCBP2L
,,,,HORMAD2
,,,,ADCY8
,,,,MT1H
,,,,MTATP8P2
,,,,AC114485.1
,,,,HAS2
,,,,GTF2IP3
,,,,AL158212.2
,,,,TIMP4
,,,,WWOX-AS1
,,,,HIST1H2BO
,,,,POTEE
,,,,POTEF
,,,,GRM8
,,,,HAR1B
,,,,AC090502.3
,,,,AP1M2
,,,,CLSTN2-AS1
,,,,AL139254.2
,,,,AC080112.3
,,,,PVALB
,,,,AL161638.2
,,,,AL161725.2
,,,,AC113385.1
,,,,LINC01206
,,,,LINC01209
,,,,MYL1
,,,,AC113192.4
,,,,AP002907.1
,,,,CCDC60
,,,,MYH8
,,,,ADGRD2
,,,,LINC01345
,,,,LINC01523
,,,,AP003025.2
,,,,CRABP1
,,,,LINC01192
,,,,AC113383.1
,,,,CCDC42
,,,,AC010320.4
,,,,XKR9
,,,,CLCNKA
,,,,CLDN18
,,,,AC079160.1
,,,,LINC01511
,,,,LINC01522
,,,,TP73
,,,,LINC00677
,,,,AC090857.2
,,,,LINC00592
,,,,CCR12P
,,,,AC078925.2
,,,,AL353768.1
,,,,AL353811.1
,,,,AC079062.1
,,,,LINC00928
,,,,LINC01081
,,,,AC009039.1
,,,,LINC00689
,,,,LINC01688
,,,,AC073878.2
,,,,CTNND2
,,,,RBFOX1
,,,,AL354824.2
,,,,GLYATL1
,,,,LINC01641
,,,,LINC01643
,,,,AC005154.5
,,,,MT1DP
,,,,LINC01487
,,,,LINC01493
,,,,CCDC183-AS1
,,,,LINC01682
,,,,MS4A13
,,,,MTCO1P11
,,,,AC114776.1
,,,,AC115220.1
,,,,AC116036.2
,,,,LINC01486
,,,,LINC01581
,,,,CCDC192
,,,,CCDC197
,,,,YWHAEP7
,,,,XKR4
,,,,XKR7
,,,,RAB3C
,,,,AC079411.1
,,,,RASEF
,,,,AL353615.1
,,,,AL162726.3
,,,,AC009244.1
,,,,AC091304.1
,,,,AP4B1-AS1
,,,,LINC01389
,,,,GPR35
,,,,RAD21L1
,,,,HOXB8
,,,,GRIN2B
,,,,AC074257.1
,,,,AC078880.1
,,,,LINC01524
,,,,LINC01531
,,,,LINC01579
,,,,LINC01377
,,,,AL353680.1
,,,,AL353743.4
,,,,CTBP2P8
,,,,AL353651.3
,,,,AC010547.3
,,,,AC010638.1
,,,,AP002380.1
,,,,AC078950.1
,,,,AC078955.1
,,,,GP9
,,,,AC010649.1
,,,,TGIF2LY
,,,,TGM7
,,,,THEGL
,,,,TMEM200C
,,,,CNTFR-AS1
,,,,AP005018.1
,,,,COL9A1
,,,,AC005699.1
,,,,PRR9
,,,,PRRX2-AS1
,,,,HHIPL2
,,,,AL139317.1
,,,,AC084876.2
,,,,AC019257.2
,,,,AC020658.5
,,,,LRRC72
,,,,C1orf87
,,,,C20orf78
,,,,AC009930.1
,,,,HBQ1
,,,,HBZ
,,,,HERC2P10
,,,,AP003181.1
,,,,AC009987.1
,,,,TMEM132D-AS1
,,,,AL157955.2
,,,,HGFAC
,,,,AC090371.2
,,,,TMEM215
,,,,AC112694.1
,,,,AC110491.3
,,,,AL157832.1
,,,,PRNT
,,,,AC005776.2
,,,,LINC01142
,,,,LINC00993
,,,,LINC01115
,,,,LINC01120
,,,,LINC01121
,,,,AC110373.1
,,,,AC084879.1
,,,,AC110799.1
,,,,AC145141.2
,,,,AC009313.1
,,,,AC102797.2
,,,,PRPS1L1
,,,,ZNF705G
,,,,C1orf61
,,,,LRRC52
,,,,OFCC1
,,,,HAGLROS
,,,,OR11H7
,,,,UGT3A1
,,,,DUSP9
,,,,AC019117.2
,,,,LRRC77P
,,,,AC239798.1
,,,,AC021087.2
,,,,EEF1B2P7
,,,,AC141424.1
,,,,OR11G2
,,,,COL22A1
,,,,AC090044.1
,,,,AC090099.1
,,,,AL157714.2
,,,,AC087565.2
,,,,AC087632.1
,,,,AC087664.1
,,,,PRR36
,,,,PRR23C
,,,,AL732414.1
,,,,AL157373.1
,,,,AL157395.1
,,,,AL139327.1
,,,,AC087742.1
,,,,LRRIQ4
,,,,LINC02582
,,,,LIPJ
,,,,C10orf142
,,,,AL732372.2
,,,,AL805961.1
,,,,AC010261.2
,,,,LINC01500
,,,,CPNE7
,,,,AP003108.1
,,,,TMC2
,,,,LINC01052
,,,,LINC01065
,,,,MYO3A
,,,,TMEM95
,,,,PWRN1
,,,,PYY
,,,,PTPRZ1
,,,,TMA16P2
,,,,PSMC1P9
,,,,CPN2
,,,,AC084361.1
,,,,AC010183.2
,,,,GUCA1A
,,,,XRCC6P1
,,,,AL139093.1
,,,,AL139184.1
,,,,AC083864.3
,,,,PON1
,,,,CLYBL-AS1
,,,,AC090607.3
,,,,AC090643.1
,,,,AC090753.1
,,,,LINC01391
,,,,MYMX
,,,,AC087258.1
,,,,AC087260.1
,,,,H3F3AP2
,,,,AC108865.2
,,,,LINC01248
,,,,AC005357.1
,,,,AC005487.1
,,,,MYO5BP2
,,,,B4GALT4-AS1
,,,,WDR87
,,,,TMEM72
,,,,AC090587.1
,,,,PSMA2P2
,,,,PRSS30P
,,,,PRSS51
,,,,AC009563.1
,,,,AC009652.1
,,,,AC009902.3
,,,,GUCY2D
,,,,HIPK4
,,,,CNBD2
,,,,CNTN4-AS2
,,,,PRELID3BP7
,,,,CNIH2
,,,,TMEM92
,,,,AP005432.2
,,,,AP005717.1
,,,,AL139020.1
,,,,HILS1
,,,,HNF1B
,,,,PPP2R2B-IT1
,,,,AC084855.2
,,,,AL158837.1
,,,,H2AFB1
,,,,LINC00668
,,,,NBEAP1
,,,,WDR38
,,,,CCNO
,,,,TMPRSS6
,,,,PPP1R2P6
,,,,LINC01251
,,,,ADGRL3-AS1
,,,,MYO1H
,,,,CCL18
,,,,CCNA1
,,,,NAALADL2-AS3
,,,,LINC01066
,,,,LINC00664
,,,,AZU1
,,,,AC122685.1
,,,,FRG2HP
,,,,TBC1D28
,,,,DAW1
,,,,AC122710.1
,,,,AC123767.1
,,,,LINC01673
,,,,AC011752.1
,,,,AC010746.1
,,,,AL358473.2
,,,,AL358613.1
,,,,MGAT4EP
,,,,LINC01804
,,,,LINC01760
,,,,LINC01762
,,,,LINC01763
,,,,AC011773.3
,,,,GALR1
,,,,AC011767.1
,,,,FRAS1
,,,,CHRDL2
,,,,IL26
,,,,PIWIL3
,,,,AC092718.8
,,,,ARHGAP26-AS1
,,,,ARHGAP26-IT1
,,,,AC008543.5
,,,,AL359547.1
,,,,AC121764.3
,,,,LINC00559
,,,,PITPNM2-AS1
,,,,CASC22
,,,,AC011840.3
,,,,TBPL2
,,,,GABRR1
,,,,AC005920.2
,,,,MIR744
,,,,MIR933
,,,,ROCR
,,,,LINC00533
,,,,IGDCC3
,,,,LINC00567
,,,,AC106736.1
,,,,LINC002481
,,,,LINC00442
,,,,LINC00251
,,,,MIR3681HG
,,,,GAPDHP35
,,,,AL356475.1
,,,,AC068875.1
,,,,MKNK1-AS1
,,,,AC005050.1
,,,,LINC01744
,,,,ADAD2
,,,,LINC01722
,,,,TCAM1P
,,,,AC011511.2
,,,,AC119800.1
,,,,GAPDHP60
,,,,GAPDHP69
,,,,GAPDHS
,,,,AC068050.1
,,,,AC067852.3
,,,,AC067930.6
,,,,LINC00550
,,,,AC068058.1
,,,,AC068481.1
,,,,AC008443.7
,,,,FRMPD2
,,,,AL357556.4
,,,,AL357832.1
,,,,LINC00368
,,,,LINC00376
,,,,PLA2G12AP1
,,,,ARHGEF19
,,,,AC008278.2
,,,,AC008427.1
,,,,RNF157-AS1
,,,,TAAR2
,,,,SYNGR4
,,,,AC040168.1
,,,,SYP-AS1
,,,,SYT10
,,,,AC012213.4
,,,,LINC01938
,,,,AL365226.2
,,,,AC092819.1
,,,,AL365356.1
,,,,SAA1
,,,,AP000770.1
,,,,AP000844.1
,,,,ACSM2B
,,,,LINC01878
,,,,RXFP1
,,,,AC044802.1
,,,,LINC01974
,,,,AL365271.1
,,,,LILRB1-AS1
,,,,NNAT
,,,,AL121902.1
,,,,AL121983.2
,,,,AC105133.1
,,,,AC105224.1
,,,,NF1P10
,,,,AL117382.1
,,,,AL118508.2
,,,,CASR
,,,,AL121656.1
,,,,AC006065.4
,,,,AC006076.1
,,,,AC006077.2
,,,,SYT16
,,,,SALL1
,,,,AC036222.1
,,,,AL390763.1
,,,,SYN3
,,,,AL121578.2
,,,,MIF-AS1
,,,,LINC01781
,,,,INAVA
,,,,LINC00343
,,,,LINC00445
,,,,TRPV6
,,,,AL772363.1
,,,,AL359317.1
,,,,LINC01986
,,,,LINC01766
,,,,AC125793.1
,,,,AC126323.3
,,,,LINC02060
,,,,AC008567.2
,,,,AC008694.1
,,,,PLA2G4E-AS1
,,,,PLCB1-IT1
,,,,AC092783.1
,,,,FSD2
,,,,LINC01988
,,,,RSPH9
,,,,AC053481.3
,,,,AC053503.4
,,,,AC055764.1
,,,,AP000919.4
,,,,AP000943.2
,,,,AC012050.1
,,,,DCST1
,,,,LINC00305
,,,,LHFPL3-AS2
,,,,NKAIN2
,,,,AC105389.2
,,,,LINC00358
,,,,LINC00366
,,,,FSTL5
,,,,LHX2
,,,,LINC00448
,,,,LINC00564
,,,,LINC00308
,,,,AL355499.1
,,,,GFRA3
,,,,REC114
,,,,AC073333.1
,,,,CTAGE11P
,,,,CTAGE13P
,,,,AC011467.6
,,,,AC073358.1
,,,,TBX5-AS1
,,,,RDH12
,,,,GOLGA6D
,,,,GOLGA8DP
,,,,AC011195.2
,,,,AC011287.1
,,,,AC069235.1
,,,,AC069444.1
,,,,AC069503.3
,,,,RGSL1
,,,,AC073429.2
,,,,IL12A-AS1
,,,,AGGF1P8
,,,,CD40LG
,,,,LINC00392
,,,,AC073130.1
,,,,AL356124.2
,,,,LINC00395
,,,,LINC00424
,,,,LINC00570
,,,,AC005099.1
,,,,AGGF1P7
,,,,GGNBP1
,,,,GGT2
,,,,GGTLC1
,,,,AL356234.2
