LC-OA,LC-AZFc,LC-INOA_B,LC-KS,LC_INOA_S
,,,PDCL3,PRKACA
,,,ARPP19,ARL1
,,,EXOC3L1,BBX
,,,SHC1,SNRPD3
,,,CD99L2,XRN1
,,,ADCY3,PARP14
,,,MTND3P10,AKR1A1
,,,CENPH,ATP10D
,,,MAGEF1,ATP2B4
,,,PLEKHA4,HUWE1
,,,JMJD8,CD46
,,,UBE4A,LUC7L3
,,,SLC25A39,KMT2C
,,,SOD2,TBC1D1
,,,RARS2,HMBOX1
,,,BCCIP,S100A4
,,,FEZ2,CAPN2
,,,MLXIP,FBL
,,,KCNMB1,RBBP4
,,,PRCP,ANKRD13A
,,,EXOC5,FIGN
,,,TNS1,SHOC2
,,,HOXD9,SNRNP200
,,,WDR47,SH3D19
,,,CUL2,CRCP
,,,AK6,SLC7A2
,,,JPT1,TRIM56
,,,YY1,UGDH
,,,COG2,TKT
,,,WDR74,CNPY4
,,,SEC31A,S100A10
,,,USP22,NNT-AS1
,,,FRRS1L,PTPN13
,,,CLSTN1,GNAQ
,,,HS6ST2,TSPYL4
,,,MAP3K20,PHC3
,,,MTF2,MED13L
,,,SMIM26,YAP1
,,,CHST14,MRVI1
,,,ANP32A,ARID5B
,,,TUSC3,FUT8
,,,B3GNT9,PRRC2B
,,,C21orf91,IFRD1
,,,UBTF,TBC1D9
,,,CSNK1A1,CALCRL
,,,SNX21,PQBP1
,,,CMAS,ITPR1
,,,MRC2,SLC25A3
,,,AAMP,ZNF423
,,,TNFSF10,MIER1
,,,ACSL3,AIDA
,,,CUTA,SP1
,,,LXN,TCP11L2
,,,UBE2L3,SCARB2
,,,GCHFR,TCEAL4
,,,ELOB,FAM120A
,,,SAP30L,NHLRC2
,,,CTDSP1,MIR503HG
,,,FAAP20,DDAH2
,,,NUCB1,RAB5B
,,,C1QTNF4,PEG10
,,,HRC,SCP2
,,,FMC1,LINC00963
,,,TLE4,SNRPE
,,,OPA1,HIVEP2
,,,CHORDC1,STAG2
,,,PDIA6,
,,,POLD2,
,,,STAR,
,,,MDFI,
,,,ABI3BP,
,,,ATXN2L,
,,,KLK10,
,,,VCAM1,
,,,NT5E,
,,,KIF1BP,
,,,TMEM243,
,,,STOM,
,,,AL118516.1,
,,,EXOSC7,
,,,TSHZ1,
,,,TSR3,
,,,GKAP1,
,,,RBM18,
,,,KAZALD1,
,,,ACAA1,
,,,AKR1B1,
,,,GLCE,
,,,MTATP6P1,
,,,UBA3,
,,,PSMC2,
,,,KAT5,
,,,IMPDH2,
,,,LINC00963,
,,,TSPAN3,
,,,CHD3,
,,,TTC8,
,,,FAM219B,
,,,HSF4,
,,,SYF2,
,,,CASP3,
,,,RNF11,
,,,HSBP1,
,,,BHLHE41,
,,,INAFM1,
,,,ZBTB7A,
,,,FZD2,
,,,YES1,
,,,RIMS2,
,,,PIGK,
,,,HCFC2,
,,,ANKDD1A,
,,,CKAP4,
,,,XAF1,
,,,DYNC1H1,
,,,SCRN2,
,,,APCDD1,
,,,MORN2,
,,,RNF24,
,,,SH3GLB1,
,,,MAGEH1,
,,,B3GALT2,
,,,FZD1,
,,,CLMP,
,,,CCDC71L,
,,,NR1H2,
,,,CBX7,
,,,MBNL2,
,,,EEF1B2P6,
,,,ILF2,
,,,HPRT1,
,,,IRF2BP2,
,,,HLA-E,
,,,SIVA1,
,,,AP3B1,
,,,SMC6,
,,,TMEM200B,
,,,FAM89B,
,,,UTP11,
,,,LMNA,
,,,TFAM,
,,,ILF3-AS1,
,,,ZDHHC1,
,,,WFIKKN2,
,,,OGFRL1,
,,,MDH1,
,,,ACO2,
,,,CAB39L,
,,,NDUFS1,
,,,MTX2,
,,,SP3,
,,,P2RY1,
,,,TMEM259,
,,,PTGES3,
,,,RBCK1,
,,,ZNF423,
,,,KHDRBS1,
,,,HGS,
,,,GLIS2,
,,,CAPRIN2,
,,,DNAJB6,
,,,MAVS,
,,,UBE2V2,
,,,SELENOS,
,,,ANAPC13,
,,,SDHD,
,,,CDC5L,
,,,ZNF771,
,,,HSDL2,
,,,CNPY2,
,,,PHF8,
,,,SLU7,
,,,AC109326.1,
,,,GNB5,
,,,BCL9L,
,,,LRPAP1,
,,,ISCU,
,,,CLTC,
,,,PLA2G2A,
,,,MAPK3,
,,,CTBP2,
,,,SNRPG,
,,,NDUFB2,
,,,CYCS,
,,,HIP1,
,,,EGFR,
,,,NOL3,
,,,TUSC1,
,,,VSTM4,
,,,GAMT,
,,,EPRS,
,,,POLR2I,
,,,HVCN1,
,,,MXD4,
,,,DDIT3,
,,,ATP1B2,
,,,AC034236.1,
,,,DDX6,
,,,CYSTM1,
,,,H2AFJ,
,,,MLLT6,
,,,HSPB1,
,,,AKR7A2,
,,,APOC1,
,,,RBM28,
,,,LMO4,
,,,CHPT1,
,,,H3F3A,
,,,MEF2D,
,,,DNAJC3,
,,,U2SURP,
,,,TXNL1,
,,,MMP24OS,
,,,CAP1,
,,,TMEM176A,
,,,SEC23IP,
,,,TCEA2,
,,,CCAR1,
,,,GABPB1-IT1,
,,,ZFPM2,
,,,PHF1,
,,,ARL4A,
,,,ZMIZ1,
,,,EIF3K,
,,,PEA15,
,,,CWC15,
,,,F3,
,,,C16orf45,
,,,CTDNEP1,
,,,NET1,
,,,INTU,
,,,PLIN2,
,,,ATAD2,
,,,MTMR9LP,
,,,EFNB1,
,,,PPM1G,
,,,SMARCA2,
,,,TMEM173,
,,,ISYNA1,
,,,CIC,
,,,TTC37,
,,,BACE1,
,,,ARHGEF40,
,,,PRKCA,
,,,BMPR2,
,,,HDAC7,
,,,BAIAP2-AS1,
,,,ZBED3,
,,,ING1,
,,,CHD2,
,,,RNF141,
,,,TRAP1,
,,,CDC42,
,,,ATP1B1,
,,,STAT5A,
,,,DHRS7,
,,,THOC1,
,,,RNF130,
,,,AFF1,
,,,MED30,
,,,NINJ1,
,,,MAP1LC3B,
,,,RARA-AS1,
,,,ARHGDIB,
,,,SETD2,
,,,ARFGAP3,
,,,RAB40B,
,,,NR3C1,
,,,NT5DC2,
,,,SET,
,,,PEAR1,
,,,ZNF22,
,,,CD4,
,,,RRAD,
,,,G3BP1,
,,,PSIP1,
,,,AC008038.1,
,,,NPIPA5,
,,,TANK,
,,,MSC-AS1,
,,,U2AF2,
,,,ABLIM1,
,,,ATN1,
,,,MT-TL1,
,,,RAE1,
,,,LZTS2,
,,,SPPL3,
,,,RAB7A,
,,,USP10,
,,,HSPA5,
,,,C1orf21,
,,,SREBF1,
,,,PPP1R3C,
,,,TRIP6,
,,,TUBGCP5,
,,,RBM42,
,,,C6,
,,,PLCL2,
,,,MLH1,
,,,AL135925.1,
,,,CENPB,
,,,ITM2C,
,,,SRPK2,
,,,KDM5B,
,,,BUD31,
,,,HSPA8,
,,,TAF6,
,,,G2E3,
,,,PCMTD1,
,,,ERRFI1,
,,,PSD3,
,,,HLA-DRB1,
,,,TWF1,
,,,NDUFA11,
,,,SPATS2L,
,,,LGI4,
,,,PSMD8,
,,,UFSP2,
,,,THRA,
,,,HMGB1,
,,,AC068888.1,
,,,PGRMC1,
,,,YAP1,
,,,UBE2R2,
,,,PPP6R3,
,,,VPS35,
,,,COPB2,
,,,ARCN1,
,,,MYH9,
,,,TFG,
,,,ACAP2,
,,,CRIP2,
,,,USP14,
,,,MINOS1,
,,,TMA16,
,,,BTG2,
,,,SDF4,
,,,N4BP2L1,
,,,NUP58,
,,,STX10,
,,,GCC2,
,,,GNB1,
,,,TUBA4A,
,,,FKBP3,
,,,NQO1,
,,,ATG14,
,,,UACA,
,,,ITGA9,
,,,C7orf50,
,,,NSA2,
,,,MAX,
,,,JAK3,
,,,FBXL15,
,,,VASN,
,,,ARFIP1,
,,,HMOX1,
,,,IP6K2,
,,,STAT6,
,,,KMT2E-AS1,
,,,YPEL3,
,,,KAT8,
,,,TMEM8B,
,,,PEX5,
,,,CREBBP,
,,,SLC44A1,
,,,TPPP3,
,,,ZNF768,
,,,ANKRD65,
,,,KIAA1324,
,,,FGF2,
,,,DTX3,
,,,OSMR,
,,,WASHC3,
,,,CTTN,
,,,LAMTOR5,
,,,MDM2,
,,,MTPN,
,,,TXN,
,,,SAT1,
,,,SUZ12,
,,,FLNA,
,,,UBR2,
,,,SYAP1,
,,,NRG2,
,,,GLMP,
,,,KIAA1217,
,,,CYP27A1,
,,,AGPAT1,
,,,SEPHS1,
,,,PSMC1,
,,,PAFAH1B2,
,,,NUMBL,
,,,C11orf68,
,,,UNC50,
,,,HMGB2,
,,,USP9X,
,,,ARHGAP10,
,,,FLII,
,,,ARID1B,
,,,TMPO,
,,,CAVIN1,
,,,BIRC2,
,,,HEXB,
,,,NEURL1B,
,,,AP001324.1,
,,,MGST1,
,,,CLN5,
,,,CLIP3,
,,,LSM1,
,,,BRD8,
,,,ZNF639,
,,,ZNF708,
,,,IFT88,
,,,KMT2E,
,,,TAGLN2,
,,,DAZAP2,
,,,RAB11B,
,,,LASP1,
,,,RAB18,
,,,RAB34,
,,,USF2,
,,,PNPLA2,
,,,RGS5,
,,,RARA,
,,,MTMR6,
,,,FBRSL1,
,,,ASAH1,
,,,RHOQ,
,,,OBSL1,
,,,ZCWPW1,
,,,PDK4,
,,,ASMTL,
,,,AKT2,
,,,LITAF,
,,,EXOSC6,
,,,PPIC,
,,,LSP1,
,,,NPIPA1,
,,,ENTPD2,
,,,C16orf58,
,,,KIF3A,
,,,MAF,
,,,CDKN1C,
,,,NSMCE4A,
,,,IFNGR2,
,,,ITCH,
,,,SLC22A3,
,,,PLIN3,
,,,PHYH,
,,,CSNK1E,
,,,ZSCAN18,
,,,ARL3,
,,,AKR1C3,
,,,APBB2,
,,,SERTAD2,
,,,DZIP1,
,,,ARHGAP29,
,,,RNF150,
,,,CSKMT,
,,,CD164,
,,,GPRC5C,
,,,PLA2G5,
,,,ITGAV,
,,,ANG,
,,,SOBP,
,,,GANAB,
,,,WFS1,
,,,XBP1,
,,,PRPF31,
,,,SGTA,
,,,DNAJC1,
,,,BUD23,
,,,NARS,
,,,FBXO18,
,,,AFG3L2,
,,,ZDHHC3,
,,,POLR2J3,
,,,TSPYL2,
,,,CIZ1,
,,,PLBD2,
,,,ZNF384,
,,,PLN,
,,,CDK5RAP2,
,,,NUDT16,
,,,AHDC1,
,,,DCAF6,
,,,FSCN1,
,,,FDFT1,
,,,TMEM127,
,,,HCG11,
,,,FAM129B,
,,,FBXL3,
,,,OLFM1,
,,,CWF19L2,
,,,RGMA,
,,,SYNE1,
,,,SNHG8,
,,,TPI1,
,,,MOB2,
,,,DUSP1,
,,,CHMP4B,
,,,CBWD1,
,,,PDK2,
,,,MYL6,
,,,CDC42EP4,
,,,PAXX,
,,,SCAND1,
,,,GTPBP6,
,,,MICA,
,,,BLOC1S4,
,,,CAPZB,
,,,SPEN,
,,,NUBP2,
,,,SPECC1,
,,,AC022400.7,
,,,EIF4A3,
,,,ERLIN1,
,,,SLC38A2,
,,,ZFX,
,,,FAM204A,
,,,RPAIN,
,,,AKR1C2,
,,,GSTM4,
,,,UBE2M,
,,,CLTB,
,,,ZNF12,
,,,INMT,
,,,CTSZ,
,,,CRTC3,
,,,FPGS,
,,,UQCC3,
,,,GDI2,
,,,RNF4,
,,,TOR1AIP1,
,,,VPS28,
,,,TMSB10,
,,,SUPT16H,
,,,PPM1L,
,,,CCDC34,
,,,LDB2,
,,,FHL5,
,,,SMARCD2,
,,,CLTA,
,,,SNRNP70,
,,,SERTAD1,
,,,TBC1D2B,
,,,CHMP2B,
,,,SMTN,
,,,HOOK3,
,,,RTN3,
,,,GPR161,
,,,SNHG16,
,,,AL590867.2,
,,,CD151,
,,,SERPINB6,
,,,HGF,
,,,NSMCE3,
,,,XIAP,
,,,AP2M1,
,,,SORBS1,
,,,SLC16A4,
,,,FAM3A,
,,,OMD,
,,,HLA-F,
,,,KDELR1,
,,,EDF1,
,,,SLC30A5,
,,,AMPD2,
,,,MEPCE,
,,,CLPX,
,,,DKK3,
,,,ECH1,
,,,SPAG9,
,,,GPAA1,
,,,SIGMAR1,
,,,PTN,
,,,RUSC1,
,,,OLFML2B,
,,,PHYHD1,
,,,MAP1A,
,,,TMEM54,
,,,THAP11,
,,,HNRNPUL2,
,,,SAR1A,
,,,OCIAD1,
,,,EIF1AX,
,,,APOBEC3G,
,,,SCD5,
,,,ANKRD13A,
,,,POMGNT2,
,,,ABHD14B,
,,,GPRASP1,
,,,CAPN1,
,,,SGCB,
,,,SMC4,
,,,ARL8A,
,,,GUCY1A2,
,,,ZBED1,
,,,KLC1,
,,,ARHGEF25,
,,,TK2,
,,,SELENOK,
,,,MYCBP2,
,,,TMEM150C,
,,,SEMA4B,
,,,TMEM37,
,,,HIVEP2,
,,,CFAP20,
,,,DNAJC9,
,,,HSPA2,
,,,CHMP1B,
,,,GUSB,
,,,MIR4458HG,
,,,CPPED1,
,,,NFE2L2,
,,,TBC1D1,
,,,ACP5,
,,,SETBP1,
,,,ITGB1,
,,,MLF2,
,,,TSPAN31,
,,,ZNF32,
,,,NAGLU,
,,,RAD23A,
,,,THAP7,
,,,BHLHE40,
,,,PLXND1,
,,,HSD17B12,
,,,HCG23,
,,,PTPN14,
,,,EPC2,
,,,MINK1,
,,,FNBP1,
,,,ACD,
,,,NRP1,
,,,AHSA2P,
,,,HEBP1,
,,,CTSL,
,,,SMC3,
,,,MYLK,
,,,AGPAT2,
,,,AOX1,
,,,TSPYL1,
,,,PCF11,
,,,MT-ATP8,
,,,NT5C2,
,,,EEA1,
,,,SCAMP4,
,,,PTTG1IP,
,,,CUEDC2,
,,,PLEC,
,,,KLHL22,
,,,MKNK2,
,,,NUDT4,
,,,STMN3,
,,,MARVELD1,
,,,PSMD7,
,,,EXOC7,
,,,TMX4,
,,,SH3GL1,
,,,HLA-DPB1,
,,,GSK3A,
,,,KHSRP,
,,,PCBP2,
,,,DEK,
,,,SSBP2,
,,,GTF2F1,
,,,EWSR1,
,,,BOD1,
,,,HEBP2,
,,,NSD3,
,,,RING1,
,,,RGN,
,,,GATD1,
,,,AEBP2,
,,,SNAP25,
,,,RABAC1,
,,,TP53I13,
,,,ADAM15,
,,,FKBP10,
,,,ADCY5,
,,,ITIH5,
,,,FAM20A,
,,,EMC4,
,,,RETREG2,
,,,ANGPTL2,
,,,CTSH,
,,,RTL8A,
,,,AKR1A1,
,,,MIR100HG,
,,,NEO1,
,,,45909,
,,,DNAJB2,
,,,LDHA,
,,,OLFML3,
,,,GULP1,
,,,CES2,
,,,TMEM176B,
,,,BLVRA,
,,,CALR,
,,,JADE2,
,,,AFF4,
,,,SMAD5,
,,,PPP1CC,
,,,ZCCHC11,
,,,RALA,
,,,FDPS,
,,,TALDO1,
,,,TBC1D17,
,,,SAV1,
,,,STAG1,
,,,AC073861.1,
,,,TPCN1,
,,,KANSL1L,
,,,MT-ND2,
,,,CNPY4,
,,,C15orf61,
,,,GSE1,
,,,TGFBR2,
,,,CREB3L2,
,,,AKT1S1,
,,,AC016739.1,
,,,KIAA0040,
,,,NT5C3B,
,,,PUM1,
,,,IRF1,
,,,THY1,
,,,MPRIP,
,,,ETFB,
,,,FER,
,,,AAED1,
,,,COIL,
,,,LDOC1,
,,,MID1IP1,
,,,PGPEP1,
,,,ANTXR2,
,,,RASSF2,
,,,SIGIRR,
,,,CUL3,
,,,RNF113A,
,,,WISP2,
,,,PCBP4,
,,,HEG1,
,,,PML,
,,,COX7C,
,,,TSHZ2,
,,,FAM13C,
,,,MYL6B,
,,,SEC14L1,
,,,MAN2B2,
,,,LONRF1,
,,,ORAI3,
,,,CDKN2AIP,
,,,TMEM129,
,,,BECN1,
,,,TTC3,
,,,TOMM20,
,,,SF3A1,
,,,FIP1L1,
,,,CCNL1,
,,,LBH,
,,,TNFRSF1A,
,,,SDC2,
,,,ZFHX3,
,,,CTGF,
,,,TMEM214,
,,,JAG1,
,,,C16orf89,
,,,ZYG11B,
,,,CREB3L1,
,,,SOCS5,
,,,LHFPL2,
,,,PLK2,
,,,CBR1,
,,,SMARCB1,
,,,TIPRL,
,,,TBC1D20,
,,,YIPF3,
,,,BAZ1B,
,,,COMT,
,,,OGFOD3,
,,,REPIN1,
,,,PFN2,
,,,ABL1,
,,,MAN1C1,
,,,PDCD4,
,,,EBPL,
,,,PLEKHA5,
,,,RCOR1,
,,,OIP5-AS1,
,,,EIF3B,
,,,MITF,
,,,CDC42EP1,
,,,SESN3,
,,,IRF3,
,,,MPST,
,,,PPM1K,
,,,ITPK1,
,,,PYGO1,
,,,CDC37,
,,,SYS1,
,,,PDLIM7,
,,,TRIP10,
,,,EPC1,
,,,TNFRSF14,
,,,PA2G4,
,,,TMEM128,
,,,ECI1,
,,,LTBR,
,,,ZDHHC4,
,,,C5orf56,
,,,CITED2,
,,,N4BP1,
,,,TROVE2,
,,,SCRG1,
,,,SMC1A,
,,,CCDC8,
,,,PRPF8,
,,,IRF2BPL,
,,,UBL4A,
,,,ZKSCAN1,
,,,PRKAR2A,
,,,DAAM1,
,,,PSMD3,
,,,ASH1L,
,,,C19orf66,
,,,HDAC5,
,,,UBXN6,
,,,KDSR,
,,,IL6ST,
,,,PHB2,
,,,NCKIPSD,
,,,DVL3,
,,,SMAD3,
,,,KAT2A,
,,,KLF9,
,,,TRIM2,
,,,ALDH2,
,,,SFPQ,
,,,CASC4,
,,,CCDC32,
,,,TEX261,
,,,FAHD2B,
,,,SERBP1,
,,,AC005261.1,
,,,PPP1R18,
,,,TMEM109,
,,,MAGOH,
,,,NDUFC2,
,,,NCKAP1,
,,,TBL1XR1,
,,,ESYT2,
,,,DCTD,
,,,EMX2OS,
,,,CNPY3,
,,,MT1E,
,,,IGFBP3,
,,,RBMS1,
,,,PSMB4,
,,,YLPM1,
,,,ESD,
,,,TEF,
,,,EIF3E,
,,,TPM1,
,,,IFRD1,
,,,STARD10,
,,,ZNF331,
,,,PARD3,
,,,FOXN3,
,,,SIAH2,
,,,IL34,
,,,ATF6B,
,,,RSBN1,
,,,PCAT19,
,,,SLBP,
,,,FHL3,
,,,CHD4,
,,,PDPR,
,,,EXT2,
,,,TRAF3IP1,
,,,ZRANB1,
,,,FAM3C,
,,,ZCCHC14,
,,,TUG1,
,,,ZNF844,
,,,HDAC2,
,,,MAT2B,
,,,HDAC3,
,,,CHCHD7,
,,,CTSB,
,,,FIGN,
,,,ANKRD11,
,,,MX1,
,,,TOB2,
,,,AMOTL1,
,,,ERCC1,
,,,GATA4,
,,,HAND2,
,,,BTN3A2,
,,,RBM25,
,,,PTP4A2,
,,,ARL4D,
,,,B4GAT1,
,,,GNL1,
,,,FBXO11,
,,,CTDSPL,
,,,CHSY1,
,,,FADS3,
,,,GLUD1,
,,,PHACTR2,
,,,POLR2M,
,,,ALKBH5,
,,,MYOCD,
,,,EMX2,
,,,RNF220,
,,,ZNF395,
,,,AKAP13,
,,,NQO2,
,,,FBLN1,
,,,SLC29A1,
,,,PDCD7,
,,,ERAP1,
,,,UNC45A,
,,,GTF3C4,
,,,FBXL12,
,,,KLF12,
,,,ADHFE1,
,,,PTDSS1,
,,,SNRPB,
,,,NR2F1-AS1,
,,,EFNA5,
,,,CBX3,
,,,MACF1,
,,,FAM120AOS,
,,,FAXDC2,
,,,PXN,
,,,FOXO3,
,,,STAT3,
,,,FAM228B,
,,,VGLL4,
,,,KPNA5,
,,,CENPV,
,,,TMEM98,
,,,RAB5C,
,,,CPQ,
,,,NUPR1,
,,,SEC11A,
,,,SNHG1,
,,,TMEM245,
,,,TXNDC16,
,,,GLG1,
,,,CCNB1IP1,
,,,LRP11,
,,,SLC25A3,
,,,ACBD3,
,,,SFT2D2,
,,,IFIT2,
,,,MSRB2,
,,,TMEM203,
,,,IMP3,
,,,SHARPIN,
,,,IFT52,
,,,ANKRD10,
,,,ZMYM4,
,,,UBE2J1,
,,,MUS81,
,,,CCDC152,
,,,FAM198B,
,,,SLC10A3,
,,,HMBOX1,
,,,PHLDB2,
,,,BEND5,
,,,YME1L1,
,,,SNCG,
,,,TBC1D9,
,,,SGF29,
,,,LIMS1,
,,,GK5,
,,,HNRNPL,
,,,RHOC,
,,,ARPC4,
,,,SLC39A1,
,,,ATF7,
,,,OAZ1,
,,,CDKN2C,
,,,VPS4A,
,,,NCDN,
,,,SRSF1,
,,,SETD7,
,,,ZNRD1,
