ST-OA,ST-AZFc,ST-INOA_B,ST-KS,ST-INOA_S
MRO,ROPN1L,VPS35,COX7A2,BBX
TMEM123,ZFAS1,FBLN2,DYNLRB2,MYO1B
ZC3H7B,COMMD6,CD99,CST9L,DRAP1
DMRT1,RANGRF,TAPBP,AC010642.2,MBNL2
ESPN,SNHG25,MT-TC,ORMDL2,SNX7
FAM221A,RABGGTB,NPM1,FBXW5,NAA50
SEM1,GLO1,SERINC3,C1orf43,NFKBIA
KIAA1217,LEMD1,PHLDA1,JTB,SLC1A5
M6PR,CTSV,NUDT10,AQP5,ING1
C6orf48,SLC7A5,TEX101,TF,BEX1
SEMA3C,ALDH1A1,ALDH6A1,MBNL3,ZFP36L1
SFT2D1,TMEM259,PPP1R15A,AGBL5,SMAD2
COX7C,ACTA2,FAM114A2,MTND4P12,PDIA3
ITGA6,UBL3,TMEM60,AMN1,NDUFS4
PDHB,S100A6,RNF38,SLC25A5,FAM111A
SHOC2,SLC25A5,MRO,KLK10,SLK
OBSL1,CAPZA3,LAMP2,LYPD6B,COPE
OSTC,NUBP1,MT-TP,PGP,CBX5
DGCR2,SPATA42,PAGE2B,TRIM28,CAPZB
SDHD,LRRC59,CPSF4,TUBA3C,SRSF2
AXL,NSA2,RHOBTB3,PKN1,RWDD2A
WRB,GSTA1,FGFR1,TMEM198B,ID2
PSMA1,NUDT10,SPCS2,MARCKSL1,MORF4L2
ZNF117,NIPSNAP2,ARL4A,PXN,SLC4A7
ATP5MPL,SCRG1,PTGES,KRT10,SYNE2
SRC,EXOC7,APOBEC3C,ATP8B2,TIMP3
ILVBL,GNAS,CCDC7,PEX5,ZYX
MT-TT,PGK1,MTND4P12,SNHG8,CHODL
LDHB,CKLF,NDUFAF3,SEMA6C,GSTM4
CPE,ALKBH7,STRAP,FGFR1,COL27A1
NDFIP1,HIGD1A,ZRANB2,AFG3L2,ZNF431
LRRN3,EIF3M,IDH1,PTOV1,TAB3
IAH1,EDN1,OSER1,IAH1,MME
EEF1B2,PANK3,GCNA,LRRC75B,HNRNPDL
MAGEH1,RACK1,RAB5B,JUND,OIP5-AS1
ATP5MF,HLA-DRB5,FBXO9,PPIA,PEG10
NPTN,LRP8,TMEM87A,FOSB,ZNF91
SLC39A10,OAZ1,LINC01681,CMTR1,MYL9
APOBEC3G,PRKCA,SRGN,FASN,MT-ND5
CREG1,ZCCHC17,ATP2B1,MT1E,EDF1
UBE2E3,MED31,OAT,KHK,PTGES3
ATP5IF1,CHCHD10,CALD1,ZRANB1,PAXBP1
HSPE1,VTI1B,ZNF844,HIST1H4I,PNRC2
PLP1,CMTM2,TFRC,DHX38,IGFBP7
NCK2,BTF3,PCCB,ACRBP,EIF3E
UBL5,FOSB,CTSZ,SYCN,MGST3
CERS6,AKT1,FAM120B,CFL1,DDAH1
MARK4,PON1,ZC3H14,HINT1,CTGF
SLC41A3,BX119904.2,ENPP2,G6PD,NTN4
QSOX1,SDHD,SLC3A2,SPATA20,RGS2
ATP6V1F,SYNE1,CLGN,TAGLN2,GAMT
UQCR11,UBAP1,DYNLT3,ATP6V1F,SUCO
TSPAN5,ATXN7L3B,ARGLU1,AC009414.2,RAB31
ATP6AP2,EPHX1,CCT4,ADAM33,SPCS2
SERINC5,ADRM1,TOB1,MT-RNR2,NFAT5
GUK1,HMGN3,TSTA3,PSMC1,POLE3
RBM3,MYL12B,YBX1,LDHB,ATP5F1B
GAS2L1,CTTN,FABP3,GATM,TKT
SLF2,LRRC75A,CENPU,SLK,POLR2L
F2R,PKM,NFE2L2,FBLN2,OAZ1
ZC3H7A,PNMA1,GANAB,SFPQ,SERPINE2
COX6C,IRF2BP2,CACNA2D1,TUBA3E,TMEM159
LGALS1,RAP1A,MAGEH1,AC010980.1,PRPS2
REEP6,CHCHD2,ZNF91,ZYX,EIF1
G0S2,TMEM8A,CCDC69,UQCRB,MAP3K13
EGR1,RNF26,MT-TS2,CIB1,TAOK1
SLC47A1,TOMM7,PPP2CA,LDHC,TRA2B
NSA2,MMD,C4orf48,CTNNBIP1,GPX4
IFI6,ATP5MC2,CABYR,NFKBIA,MT-TV
ABRACL,CT83,CHD9,CHMP4B,PGM3
PAQR7,VPS37B,MLXIP,NUDT16,CACNB4
CXCL3,AC005912.1,PDE4B,ZNF768,BSG
GUF1,TOB1,MARCKSL1,TSEN34,MLXIPL
SLC16A1,EIF3E,GLUD2,SEC61G,HPRT1
RDX,HMGN1,EVI5,PNPLA2,CD9
IL6ST,FAM198B,ARHGAP5,SLC27A3,ZNF326
SELENOF,HGS,SORT1,SPINK2,CCDC85B
RDH11,LINC00467,DEPP1,PLEKHJ1,DDX6
MTND4P12,RNF40,GALNT7,PENK,CTNNA2
HSPA13,EID1,ATP5F1E,ATP5IF1,UBL5
SC5D,SLC7A6OS,OOSP2,PPP1R1C,CREG1
TPI1,RBP1,VPS26A,RBCK1,LYRM2
SMC6,BCL2L2,GJA1,ARID5B,SSBP1
LAMP2,RALB,SHTN1,SLC39A3,UQCRB
SRSF2,ATP5MG,LIMS1,TRIM55,SLC38A2
ENPP5,PPP2CB,SEC62,PPP1R14A,ZFHX3
TSPYL1,ROPN1B,CR381670.1,NDUFV1,TIMM13
GPX3,TCEAL9,PLEKHH2,TRIM8,TMEM14B
FBL,ETNK2,ZDHHC2,PLD3,NAALAD2
DENND4C,INSL3,IL1R1,NDUFC1,SERPINF1
MEF2C,AMFR,RTN4,CKLF,CYB5A
USP8,KLK10,HIST1H2AH,EMC4,SCRN1
KCTD12,ACTRT3,EEF1B2,IER5,AZIN1
CLIC1,GNB1,PHACTR2,TMEM130,JAM3
SLK,MMP15,TAF1D,AC010325.1,WSB1
HINT1,PHB2,S100A6,LDHA,SMIM10
CHST9,RWDD2A,DHCR24,GDE1,TAF7
MBNL3,FBL,AGA,CMYA5,SLC16A4
BPTF,GLS,GALNT1,GNG5,SPARCL1
PIK3C2A,MT-TD,PRRC2B,ERG28,EIF3F
DAXX,NDRG4,RRBP1,RNF26,EIF3I
DAAM1,CXCL2,ENAH,AURKAIP1,CENPV
CHPF,MSX2,HNRNPAB,FAM98A,PSMB4
EDN1,SLC4A7,KIAA1109,CNOT3,CEBPZOS
FAM98A,OS9,YBX3,CCS,TCEAL2
MTRNR2L1,SPATA6,RBBP7,HSD17B12,CORO2A
APPL2,MTND3P10,ZNF431,ZPBP2,SH3GLB1
OCIAD1,TMCO2,NRXN1,MTATP8P2,EIF2S3
MYOZ2,CALM2,AMH,SLC13A4,ZFR
SNHG8,POM121,CYP4V2,WNK3,GATAD2B
EMC7,CCZ1,SPTLC3,TIMM9,SUMO2
MAGED2,FAM209B,HMGN2,INSL3,SHTN1
UACA,UBL5,WWP1,LZTS2,MAEL
PTN,ERG28,TTN,SNF8,ACBD5
SYAP1,CTNNB1,CEBPD,FBXL15,SRRM2
CYB5R3,FHOD3,C12orf75,GKAP1,NDUFB7
WASL,BMI1,DHX36,BAIAP2,MAGED1
JAK1,DYNLRB2,LCA5,KIAA1217,CDH2
CYCS,FLVCR2,SPARCL1,MID1IP1,MAPRE1
ATP2A2,MTND4P12,AL118516.1,MRFAP1,MAT2A
ZBTB38,HS2ST1,EPHB6,NDUFS8,CNBP
SETD2,ULBP1,SLC25A36,SLC22A17,RHOA
PLIN2,ATP5PD,HIST1H1C,CDKN3,NPC2
MBOAT7,YARS,TIMM8B,KLF4,CD300LG
LMNA,SERINC5,TRIM55,ING1,PLA2G12A
PHF3,SUSD3,USP53,ABRACL,RAN
HSP90AB1,BAMBI,ZNF326,DNAJC4,RPN2
NOTCH2,DDIT3,NUFIP2,HNRNPD,PPDPF
YWHAB,SPATA33,TFF3,TRMT112,PPP4R3B
TAPBP,GNG12,FCHO2,SDF4,COMMD6
GSTA1,PLXNA1,TAOK1,ELOF1,G3BP2
ABLIM1,TSPAN31,SREK1IP1,TAF1D,HELZ
TSPYL2,WFDC6,KATNBL1,GNB2,IFNGR1
MT2A,ITIH5,JUND,CA2,NBDY
TBL1X,HNMT,EMB,LPAR2,CREB5
TCEAL4,SHC1,TRIM38,CUL3,RNF149
MAP4,NFATC2IP,CDC42BPB,SNHG7,IER2
ZNF280B,SPINK2,GULP1,HIST1H2BK,CHML
THRAP3,SLC27A6,IFIT1,NT5C,CDKN1A
HSP90AA1,SPOCK1,SOWAHC,ATP5MPL,POLR1D
RCN2,CALB2,ZNF518A,LRRC75A,DDIT3
PAK2,ZC3H7B,REG3G,GOLGA8B,WASF2
NIPBL,NORAD,GADD45G,FSCN1,45909
AFF4,SEM1,PAK3,C20orf144,AKR1B1
S100A11,DEFB123,ID4,NDUFB7,MTCH1
SNRPC,MAPRE2,SCD5,SMIM4,ADGRL3
PPFIBP1,RBM8A,TNRC6A,SELENOK,CD99
LPP,PNP,BPTF,REXO5,TLK1
NUCKS1,PHLDA1,NOSTRIN,ABHD17A,TEX30
ARMCX3,ATP11A,GRPEL1,EPB41L4A-AS1,DCN
RAB31,ARL8A,UGT3A2,UNC5B,MNDA
COMT,CCNI,ITGB1,SNRPF,ABRACL
EID1,GSTA4,ARPC5,KMT2C,ARPC5
MT-TM,PNRC2,MSI2,DGAT1,RALBP1
SECISBP2L,MYEF2,MAPKAP1,RNF126,ZCRB1
TXN2,EIF4B,MBNL2,PLIN3,SCP2
HPS5,ENPP5,TNIK,CETN1,SLC52A3
LMO7,C12orf75,CCDC93,MT-CO2,MICU1
HLA-C,FTL,MT-TL1,MZT2A,RASA1
DDR1,GPX4,SELENOK,EEF2,UFSP2
EIF2AK1,SNHG9,SLC38A2,CPSF1,FUS
ATRX,IL11RA,FGD5-AS1,RABL6,R3HDM2
ATF6,PHGDH,CCDC25,STAR,ODC1
PTTG1IP,LGMN,ZNF721,ZPBP,RHOC
STAT3,TAGLN,GOLGB1,ACKR3,FGFBP2
CR381670.1,MORF4L2,MZT2A,C7orf50,COMT
NFIA,JAZF1,MT1F,TMEM120A,DUSP6
ARPC2,STARD4,IFNAR1,PPP3R2,UBE2E3
B2M,SPATA4,NENF,SF3B5,ILF3
EZR,NOP53,MTPN,BBS2,MICAL2
MYH9,SMIM27,MZT2B,HOPX,EVI5
S100A16,EFHD2,MICU1,VPS28,TES
RTF1,RRAS,ANO6,TSTA3,MGP
45907,ECHS1,IDI1,MRO,CCDC6
ROMO1,CAPZA1,CBWD1,EDF1,QKI
DAP3,ATP5MPL,UIMC1,UQCRC1,PTPN4
CKB,LGALS3BP,MLEC,MARK4,HIST1H2BD
UBR4,FMNL2,AC007969.1,CD83,DAZL
EIF2S2,UACA,CCNL1,TFF3,NUFIP2
ATP6V1D,RAF1,RANBP3L,KIFC3,SNRPE
ABCA1,YWHAQ,CASC4,RHOB,INSL3
DHX36,MRFAP1,KIF5B,DDIT3,VGLL4
SETD5,MTHFD2,ZKSCAN1,RUVBL2,TTC39C
RAC1,SLF2,RGS5,ARL6IP5,GNA13
ELL2,DMRT1,ATF5,ZNHIT3,SVIL-AS1
TAOK1,SELENOF,HERC1,ACTL7B,GSTA4
VAPA,FAM219B,GOLGA4,ETFRF1,SYCN
NEDD9,COX7B,TTLL7,CLN5,COL1A2
MBNL2,DNAJC7,EFHD2,SON,MAGED2
IFITM3,KLF10,FBXW11,RBM42,SMARCD3
R3HDM2,HSPB8,ING2,SNRPD2,CPNE5
TOX4,ACSL4,CTAGE5,AKR1B1,ZSCAN31
SMC5,HLA-B,PANK3,PLXNA1,SAMD9
TJP1,OIP5-AS1,WSB1,DYDC1,SPATC1L
MTSS1,ARHGAP23,PPP2R3A,SCCPDH,ANP32B
BX119904.2,GNG5,RAB11FIP2,POLE4,CELF1
TPM3,UQCR11,SPTAN1,AL355001.2,FBXO9
MACF1,PRSS12,AKIRIN1,SNHG5,SREK1IP1
CD151,TRMT112,GNL3,ERP29,ALKBH7
SYT11,ERH,DPP6,FBXO25,HEBP1
RANBP2,LMNA,SENP6,CKS2,NAP1L1
PTBP3,PDE4B,EPDR1,GRHPR,EIF2AK1
CNN1,PDHB,CISD3,APRT,ZADH2
C1orf21,UBE2Q1,LYRM2,ULBP1,FOXJ3
ANKRD36C,ACOT8,SNHG8,ROPN1B,45902
SMC4,CTNNA2,KIAA1551,PCYT2,CMAS
LRRC47,PAK6,FNBP1,SMIM1,FAM168B
PJA2,AZI2,ACAP2,JPT1,HMGCS2
LMAN1,FNTB,SFRP1,WDR45B,GDI2
VPS35,IER5,MYH11,SMARCD2,ARPC3
ARHGAP18,GTSF1,CSTB,SLC16A3,ABLIM1
ASH1L,SFPQ,ZBTB7A,MT-TG,TRIM37
BOD1L1,CCT5,USP48,STMN1,HNRNPH1
TACC1,SNX3,PON2,HSPA2,RAP2B
PCMTD1,HNRNPAB,WIPF3,CKM,GADD45A
NCOA2,GSTM4,BRD2,TMEM219,PARK7
TXNIP,CLCC1,CEP126,SRC,UBE2Q2
KIAA1958,ANXA6,GUF1,MYLK,BTG2
SPTBN1,HECA,DKK3,CETN3,TIPARP
FYTTD1,PFN2,MIER1,PRKCSH,COX4I1
SPTAN1,GOLGA8B,LRRN1,MRVI1-AS1,CD81
CDC42,YRDC,MNDA,EPHX1,STARD4
RIOK3,CEPT1,TNRC6B,CARD19,ANP32A
GABARAPL2,ATF6,MYL6B,BTF3,SGCE
TGS1,PERP,RASA1,IGSF1,SELENOW
KLF6,JAM2,RORA,UCKL1,MAPRE2
SRP54,M6PR,MYLK3,TUBA3D,CHURC1
LAMA2,IZUMO4,SRSF9,MAPKBP1,NFKBIZ
BNIP3L,RAP1B,SPAG9,NDN,RUNX1T1
ACSL4,PLEKHA5,NFE2L1,CTSD,HEXIM1
MTND2P28,PRDX6,,LINC01016,EPB41L2
SPANXN4,SLC25A4,,POP7,PAFAH1B1
PKN2,YWHAB,,KIAA0930,TIAL1
ZNF91,LARP7,,ALDH2,VAPA
AP3S1,CD47,,MED25,RAB7A
MYL9,TCP10L,,TCEA2,PRKAB2
PBRM1,LINC00301,,NKX2-8,VAMP2
LRIF1,KXD1,,SETD2,SOX2-OT
TAF3,FAM122B,,BCL7C,ENPP5
FAXDC2,MICAL2,,SMARCD3,SF3B5
S100A10,ERICH2,,ATP5F1B,RASD1
MT-TS2,CAPNS1,,POLDIP2,PSEN2
CD9,BTG1,,UBE2S,PURB
PARP1,SMS,,PRMT1,LSM8
ADGRG1,UBE2D3,,UBE2J2,GRHPR
DDX42,CYCS,,PLPP4,SFXN1
ZNF638,PLPP4,,ROPN1,DYNLRB1
CCDC186,DGLUCY,,CR381670.1,HIPK3
TRIP11,ENAH,,TK2,DCUN1D1
BAZ1B,CHMP4B,,IMP3,DNM2
GOLGA5,HSPA5,,CNOT1,FIS1
FAM13B,ATP1B1,,MYL5,TOB1
TMSB4X,HS6ST1,,TP53I3,SLC16A3
UPF2,NIPSNAP3A,,AKAP8L,MPZL1
FZD3,BMPR2,,GTF2A2,C9orf16
TRIM24,SSBP1,,GADD45GIP1,SET
MAP4K4,LSM3,,DKKL1,PPM1K
RIF1,CHL1,,CCT7,BCLAF1
USP47,SLC4A5,,LAMP2,AKAP13
USP15,MKLN1,,AC100810.1,VAT1
FKBP2,VKORC1,,ABCA1,MTF2
GCNA,WIPF3,,SLC3A2,AGO2
ARFGEF2,TMED4,,LINC00301,MMP15
PPP2R1A,MYL12A,,VCL,NFIX
RRAS,DCUN1D1,,C8orf88,DDX17
CNOT4,ZNF770,,CITED2,YTHDF3
KMT2A,TSPAN17,,PHYH,FAT1
CDKN1B,CLEC12B,,NDUFAF8,DNAJB4
ZFP36L2,ACOT13,,FDXR,ARAP2
CKAP5,PPIL3,,NME3,RBBP4
PPA1,BACE1,,LUC7L,SMYD2
ATF7IP2,MOB1A,,ATP5MC3,IBTK
SMC3,TK2,,DYNLL1,GNAQ
MORC4,HNRNPH3,,SUSD3,ZC3H15
LARP1,RHOBTB3,,TMEM134,PREPL
PRKDC,CXCL3,,C19orf24,FAM107B
CFL2,MID1IP1,,WFDC6,MRFAP1
VAMP2,CNPY2,,TMEM94,SEC14L1
DST,SLC38A2,,LRRN3,TMEM87A
CAPN2,RAB1A,,DPP7,KATNBL1
CPEB4,RAB8A,,TCP10L,ECH1
ARID1A,PEX5,,MLEC,FAHD1
HIST1H1C,ACTR2,,ECHDC3,FOXN3
IFNGR1,ITSN1,,TCP11,RTF1
ENPP2,CNIH1,,HNRNPM,HMGN4
ARHGAP10,NXF3,,NCBP2-AS2,APEX1
DARS,AOX1,,HDHD5,COX15
TLE4,PPP2CA,,TOB1,UROS
DHTKD1,SMAD2,,SLC12A7,KIF2A
EPRS,MARCKSL1,,SF3A2,OOSP2
ACTN4,MAGED2,,UBE2D2,FRG1
SPANXN3,SH3RF2,,FAM229B,BCAP29
CREBRF,RECQL,,AVPI1,MTCO3P17
BRD4,ORMDL2,,SIGMAR1,TIMM9
SYNE1,VDAC1,,MYL9,CREM
EIF5B,ELOVL5,,PTTG1,CCDC50
ANKRD11,ERGIC1,,MYL6,CLIP3
TMEM263,SNRPE,,C7orf61,ACTR2
TPM4,NAP1L3,,NDUFB11,ATG12
MOSPD1,MACF1,,CUTA,HMGCR
PPP2R2A,SCRN1,,ALDOC,GNG5
CHD4,SPIN1,,CDKN2AIPNL,SEC14L4
TXNRD1,SHTN1,,TUSC1,SPIN1
ATP2B4,HSPA1B,,VTN,TMEM106C
PCCB,CYP11A1,,ADI1,DGLUCY
FAM214A,BCLAF1,,UBE2E3,HBEGF
USO1,EMP3,,ELOB,NFIC
NBEAL1,LMAN1,,PPP1R16A,NT5E
SETX,CNN3,,AAMDC,MAVS
PFN1,GREB1,,RABGGTB,KDELR1
SYNCRIP,FUS,,DCXR,ANAPC16
MPHOSPH8,METRNL,,VDAC3,UIMC1
ZNF385B,SF3B6,,AC016747.1,PAICS
STAMBP,CAPN5,,45912,GNG2
PPP1R2C,CREM,,OOSP2,ST5
ZEB2,KRR1,,PRPSAP1,CABYR
FABP3,NXT2,,RASA1,IGSF1
SCAF11,ANAPC13,,CARD10,NOP58
FER,POLR2B,,KAT2A,CPT1A
N4BP2L2,CDKN3,,PSMD13,SPATA6
ACSM3,NR0B1,,DHCR24,STX3
DUBR,ETFRF1,,SERP1,PFN1
SVIL,LDHB,,ABCD1,INTU
TNRC6A,STRAP,,SERPINI1,EPN1
CCDC6,ESPN,,IL6ST,ACSL4
CGNL1,ADI1,,UNC119,EIF1B
PTMA,ZNF22,,CTDNEP1,MTDH
IFI27,YAP1,,UBE2M,C6orf106
MT1X,ANOS1,,SNAPC2,ATP2B1
VIM,FSCN1,,TMED3,PYURF
,TNP1,,COX5A,HECA
,GALNT2,,SLC45A4,NME4
,ISCU,,APH1B,DNMT3A
,NAA50,,MANBAL,CNN3
,RNF44,,YBX3,DANCR
,SMAD4,,ARL2,PRDX1
,PLA2G12A,,SNRPC,FBN1
,SRGN,,PHKG2,MEF2A
,NDUFB2,,GPR137,ARL5B
,GDE1,,YPEL1,ICK
,EIF3H,,LSM4,SCAND1
,FAM13B,,BPTF,KYAT3
,ABI1,,MORN2,HOOK3
,SREBF2,,ACSL4,HSPB1
,UFSP2,,CEBPD,TMEM14C
,HEXB,,TXNL4B,BCL10
,TUBA1A,,ADAD1,ZC3HAV1
,MIR4458HG,,MTND2P28,OCRL
,CDKN1A,,RBM38,SKIL
,DMAC1,,C15orf39,MCL1
,HSBP1,,TBCA,IVNS1ABP
,SFT2D1,,DGCR2,PLEKHA2
,SNX7,,ZCCHC17,LRRC75B
,STAU1,,NCOR2,HDLBP
,MRC1,,FKBP5,CAPN5
,HSPA1A,,PTPN7,PRPF4B
,ATP8B2,,NDUFA1,SLC39A7
,HMG20A,,LSM8,FAM199X
,TMEM130,,PSMG1,LAP3
,MAPKAP1,,ISOC2,TPP1
,ARL4A,,MT-TL2,TOX2
,GALC,,PDXDC1,ZFP36L2
,CKS2,,COA5,LUC7L
,PLBD2,,MEX3B,VHL
,DNAJC3,,QSOX1,TMCO1
,PPIF,,EDN1,PDE4B
,RASL12,,CLTA,MAP4
,NEDD8,,POLR2B,GALNT1
,SNX25,,NDUFAF3,NORAD
,UCHL3,,LINC02367,SUPT4H1
,TPM4,,NRXN1,PHACTR2
,WDR45B,,SREBF2,ME2
,TUG1,,APOBEC3G,UXT
,CTDNEP1,,DGCR6L,RARS2
,MBD2,,MTCO1P25,PTPN14
,IRF2BPL,,BRDT,NIPAL3
,SOWAHC,,ZNF117,TAF1D
,TFB2M,,MCRIP1,SKA2
,TOX4,,AKT2,EIF2AK2
,GTF3C6,,FAHD2B,HLA-C
,ANAPC16,,CYB5A,PAK3
,SRSF8,,UBE2F,DUBR
,HCFC1,,ASRGL1,UACA
,PEA15,,MIEN1,BRWD3
,ROPN1,,ETFB,UBR4
,PPM1A,,HMOX1,CCT6A
,PRDX5,,VASN,FAM13B
,NDUFC1,,ATP5PD,GSN
,TMEM150C,,YBX1,CTDSPL2
,FAM168B,,DNAJC5,MOB1A
,C6orf48,,NDUFB9,GPX3
,BTBD1,,AC084033.3,IREB2
,SLIRP,,LONP1,LCOR
,CCNK,,SYCE3,FBXL20
,SUB1,,RIF1,LSM3
,PTBP3,,LINC00467,LMBRD1
,H2AFY,,FRZB,OLA1
,PCCA,,RCN1,KIAA1324L
,PIGT,,GGA1,POLE4
,UBE2E1,,CYP11A1,PGLS
,HDGFL3,,PEMT,MZT2A
,CTGF,,SLC25A3,TBL1X
,MEX3B,,KLHDC3,MGLL
,ZNHIT3,,NDUFA3,NDUFB1
,SRI,,ST3GAL4,TFF3
,GAS2L1,,SEC13,UBL3
,OSTC,,EIF3K,CSNK1G3
,CACNB4,,PAQR7,CCNG1
,SPACA9,,SRSF6,H2AFZ
,KPNA4,,DUT,DYNLT1
,IAH1,,POLR1D,TTC27
,FLNB,,DPM3,SF3B6
,GNAQ,,COX6C,ATRAID
,C1orf122,,DCN,MLF1
,ATP5MC3,,SPOCK2,PICALM
,SMARCD2,,SOWAHD,IFITM3
,EIF3G,,BRD2,GLS
,RIOX2,,PAF1,CALM2
,SMIM4,,45907,TXN
,GRSF1,,CAMLG,ZNF92
,GATA6,,POMC,POLI
,EVI5,,APPL2,BANF1
,SLK,,NAXE,CCDC88A
,CEBPZ,,ABCA8,SMIM14
,CHST9,,NDUFS4,FNTB
,CSDE1,,C1orf194,ZNF880
,MGAT5,,SF3B6,PRPSAP1
,PRKACB,,THRAP3,APPL1
,PRAF2,,SLC39A10,DCTPP1
,RNF139,,SPATA4,HNMT
,MAGED1,,GSS,ZBTB21
,TMED7,,SERPINF1,GRSF1
,TAB3,,ODF2,GNB5
,DCTPP1,,COX5B,FLNB
,GALNT7,,WDR60,CARMIL1
,ROBO2,,PNKP,ING2
,SUPT4H1,,NDUFS6,FAM172A
,KLHL15,,NUCB1,LSM5
,SCD,,NTN4,TAGLN2
,MRVI1-AS1,,VDAC1,EBLN3P
,MCL1,,BBX,ZFAND5
,TRIR,,UPF1,TNFAIP1
,ZFP36L2,,LGALS1,SESN3
,GRHPR,,SPCS2,HDGF
,ATG12,,SMAP1,ISOC2
,CDV3,,GOLGB1,LARS
,ACSM3,,NDUFA4,KLF3
,MPRIP,,MBOAT7,TFDP2
,PSMB4,,SLF2,FER
,45902,,DENND4C,GSK3B
,CHMP3,,EIF1B,RDH11
,ZNF207,,SRP14,FBXW11
,TRA2B,,NINJ2,DMAC1
,ID2,,MFSD2A,IFRD1
,FGD5-AS1,,SCAP,NDUFA4
,RAP2B,,PRDX6,HNRNPAB
,SLC22A17,,CD99,C6orf62
,PARK7,,SURF1,PRDX3
,UBE2D2,,HMGN2,STMN1
,ZNF431,,FAM236A,RARRES2
,LGALS8,,SRSF8,POLR2D
,SET,,PAK6,TMEM2
,EEF1E1,,PGLS,SRP9
,SLAIN1,,CBR1,UBE2D3
,DYNLT1,,MAPKAP1,EIF4EBP1
,MTPN,,MTCO1P12,ACSM3
,YTHDF3,,PTPN13,NDUFS8
,ACOT2,,NDUFA8,UBE2S
,ATP2C1,,ERCC4,RAB14
,DPYSL2,,AP2M1,CRCP
,EIF4A3,,MAF1,PGK1
,MME,,AZI2,MDM4
,CNBP,,ARPC5L,SSR3
,ADGRG1,,MFF,AP2B1
,DEPP1,,ARHGAP23,TNFAIP3
,NRXN1,,GSTM4,USP46
,LIMA1,,HMGN3,NR2C1
,SRSF3,,SNRPE,RFC1
,NDUFB4,,PRAF2,FNBP4
,OPTN,,SAP18,S100A6
,C6orf62,,SLC4A5,ZNF680
,SGK1,,VPS35,C5orf42
,MED4,,SLC41A3,UBTD1
,RAP2C,,PNMA1,ST13
,GLG1,,MALSU1,STRAP
,TMEM106B,,TIMM50,DDX18
,TIMM13,,HSD17B3,MAPK1IP1L
,TMEM181,,REX1BD,NOP56
,SNRPB,,HNRNPA0,PHB2
,TSEN34,,GTF3A,PLXNC1
,TRIM37,,NFS1,IMPACT
,PCNP,,EIF4G2,ENSA
,MBOAT7,,COX7B,SLC1A6
,VPS26B,,C1orf123,PLAC9P1
,FAM221A,,GSG1,UBE2H
,NKX3-1,,ATP5MG,DENND5B
,TMEM159,,HPCAL1,EFHD2
,CCDC43,,SNU13,TXNL4B
,MALAT1,,45909,G6PD
,GOLGB1,,SHOC2,GMFB
,TMEM123,,NDUFA13,ZBTB20
,TIMM8B,,FAM92A,CNIH4
,RAB18,,UBXN1,ARGLU1
,G6PD,,CPNE5,C6orf48
,PLSCR4,,MVP,NXF3
,NUCB1,,PYURF,CNTLN
,ATP5MF,,COPS9,KPNA2
,HSPA13,,CDKN1A,XIAP
,TMEM106C,,PTGDS,PHYH
,ENSA,,EMC7,ANXA11
,FAM241A,,CTSC,KIAA1551
,CPPED1,,SEC31A,TBCA
,TRIM25,,HAX1,PAK2
,SLC25A36,,CYCS,TPI1
,ZSCAN16-AS1,,MEPCE,PEA15
,FOXN3,,RAD21,PCMT1
,TIMM9,,LAMTOR4,GNB1
,TXN,,HSPA8,OSBPL9
,NCKAP1,,MAGED2,METTL9
,IREB2,,GATA5,DDR1
,ATP5PO,,SSNA1,UQCR11
,GATAD2B,,ARHGAP18,GNB2
,MPZL1,,MCHR2-AS1,FEZ2
,TSPYL5,,SOX3,CITED2
,PPP1R2C,,PMVK,GPX1
,NPEPPS,,RER1,TF
,WDR1,,RANBP2,TCEA1
,PTP4A1,,POLR2H,DNAJC3
,AHCYL2,,PPIH,TMEM106B
,SMYD2,,GNPNAT1,ZRANB2
,VAMP7,,SSBP1,WWP1
,MAPK1,,AFF4,MAPK1
,RASSF2,,NDUFA11,LPP
,FDFT1,,ZFAND3,ATF7IP2
,RNF11,,LAS1L,FAAP20
,LRP1,,PCBP2,BMPR2
,LYRM2,,MLF2,ADI1
,FAM111A,,PIK3C2A,STAU2
,KLHL42,,CTSL,UBE2R2
,RAB11A,,BX255925.3,KLHL15
,FEZ2,,ECH1,COX14
,MICU1,,RNF139,PFN2
,SLC7A1,,PNKD,DSTN
,BEX4,,EPHB6,EPAS1
,IFRD1,,BCAR1,BMT2
,PHF24,,LRPAP1,ZNF280B
,RAB6A,,CFAP20,SCCPDH
,AMIGO2,,ATF6,RCOR3
,SESN3,,PCBD1,H3F3AP4
,HERC5,,NUDC,EIF4EBP2
,CYB5R3,,TCEAL5,BFAR
,ATXN10,,TCP1,PTK2
,BTG3,,PIAS4,NFIA
,RAN,,EIF3H,STX16
